Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2020-12-31,898.92,350.00,118.00,30.00,11,12
2021-01-01,490.87,350.00,52.00,30.00,5,12
2021-01-02,674.34,350.00,83.00,30.00,7,12
2021-01-03,401.38,350.00,91.00,30.00,9,12
2021-01-04,902.62,350.00,109.00,30.00,11,12
2021-01-05,571.97,350.00,56.00,30.00,14,12
2021-01-06,584.36,350.00,66.00,30.00,13,12
2021-01-07,512.94,350.00,47.00,30.00,12,12
2021-01-08,71.38,350.00,8.00,30.00,2,12
2021-01-09,454.10,350.00,42.00,30.00,11,12
2021-01-10,738.94,350.00,63.00,30.00,13,12
2021-01-11,540.26,350.00,56.00,30.00,11,12
2021-01-12,721.49,350.00,75.00,30.00,14,12
2021-01-13,599.60,350.00,47.00,30.00,13,12
2021-01-14,742.13,350.00,71.00,30.00,12,12
2021-01-15,552.07,350.00,49.00,30.00,8,12
2021-01-16,595.28,350.00,43.00,30.00,13,12
2021-01-17,914.03,350.00,109.00,30.00,13,12
2021-01-18,764.05,350.00,94.00,30.00,12,12
2021-01-19,856.60,350.00,90.00,30.00,11,12
2021-01-20,583.22,350.00,29.00,30.00,11,12
2021-01-21,406.72,350.00,23.00,30.00,11,12
2021-01-22,473.91,350.00,32.00,30.00,11,12
2021-01-23,134.38,350.00,14.00,30.00,4,12
2021-01-24,529.75,350.00,26.00,30.00,13,12
2021-01-25,914.39,350.00,73.00,30.00,15,12
2021-01-26,729.16,350.00,70.00,30.00,12,12
2021-01-27,841.33,350.00,56.00,30.00,13,12
2021-01-28,858.77,350.00,84.00,30.00,16,12
2021-01-29,766.67,350.00,70.00,30.00,9,12
2021-01-30,300.44,350.00,31.00,30.00,6,12
2021-01-31,348.26,350.00,49.00,30.00,12,12
2021-02-01,748.28,350.00,62.00,30.00,11,12
2021-02-02,786.75,350.00,81.00,30.00,10,12
2021-02-03,456.58,350.00,65.00,30.00,11,12
2021-02-04,559.75,350.00,45.00,30.00,13,12
2021-02-05,0.00,350.00,0.00,30.00,0,12
2021-02-06,562.08,350.00,31.00,30.00,14,12
2021-02-07,650.93,350.00,40.00,30.00,15,12
2021-02-08,754.33,350.00,62.00,30.00,7,12
2021-02-09,276.78,350.00,64.00,30.00,9,12
2021-02-10,316.60,350.00,8.00,30.00,7,12
2021-02-11,280.67,350.00,14.00,30.00,7,12
2021-02-12,155.28,350.00,2.00,30.00,5,12
2021-02-13,320.43,350.00,24.00,30.00,7,12
2021-02-14,628.69,350.00,43.00,30.00,10,12
2021-02-15,259.25,350.00,6.00,30.00,7,12
2021-02-16,424.70,350.00,21.00,30.00,10,12
2021-02-17,503.55,350.00,51.00,30.00,12,12
2021-02-18,447.29,350.00,38.00,30.00,14,12
2021-02-19,305.58,350.00,15.00,30.00,10,12
2021-02-20,369.26,350.00,43.00,30.00,6,12
2021-02-21,887.18,350.00,84.00,30.00,15,12
2021-02-22,0.09,350.00,0.00,30.00,0,12
2021-02-23,873.41,350.00,89.00,30.00,15,12
2021-02-24,554.23,350.00,34.00,30.00,14,12
2021-02-25,4.41,350.00,1.00,30.00,0,12
2021-02-26,346.63,350.00,18.00,30.00,9,12
2021-02-27,2.05,350.00,0.00,30.00,0,12
2021-02-28,990.34,350.00,94.00,30.00,14,12
2021-03-01,356.85,350.00,21.00,30.00,9,12
2021-03-02,347.20,350.00,29.00,30.00,8,12
2021-03-03,234.78,350.00,22.00,30.00,5,12
2021-03-04,321.56,350.00,22.00,30.00,11,12
2021-03-05,608.64,350.00,60.00,30.00,5,12
2021-03-06,270.16,350.00,57.00,30.00,8,12
2021-03-07,739.19,350.00,100.00,30.00,15,12
2021-03-08,531.34,350.00,38.00,30.00,15,12
2021-03-09,558.43,350.00,45.00,30.00,15,12
2021-03-10,470.77,350.00,23.00,30.00,12,12
2021-03-11,570.00,350.00,34.00,30.00,14,12
2021-03-12,400.51,350.00,18.00,30.00,14,12
2021-03-13,439.58,350.00,21.00,30.00,12,12
2021-03-14,434.50,350.00,27.00,30.00,14,12
2021-03-15,588.59,350.00,72.00,30.00,15,12
2021-03-16,472.99,350.00,38.00,30.00,15,12
2021-03-17,719.18,350.00,71.00,30.00,11,12
2021-03-18,412.20,350.00,36.00,30.00,9,12
2021-03-19,565.39,350.00,50.00,30.00,14,12
2021-03-20,670.06,350.00,66.00,30.00,13,12
2021-03-21,497.73,350.00,36.00,30.00,15,12
2021-03-22,516.40,350.00,49.00,30.00,13,12
2021-03-23,509.35,350.00,50.00,30.00,12,12
2021-03-24,560.93,350.00,41.00,30.00,11,12
2021-03-25,616.17,350.00,36.00,30.00,15,12
2021-03-26,552.84,350.00,26.00,30.00,14,12
2021-03-27,232.43,350.00,9.00,30.00,10,12
2021-03-28,571.14,350.00,47.00,30.00,13,12
2021-03-29,741.26,350.00,57.00,30.00,16,12
2021-03-30,437.54,350.00,16.00,30.00,8,12
2021-03-31,565.79,350.00,30.00,30.00,12,12
2021-04-01,547.30,350.00,37.00,30.00,13,12
2021-04-02,222.93,350.00,48.00,30.00,8,12
2021-04-03,694.43,350.00,50.00,30.00,10,12
2021-04-04,415.45,350.00,81.00,30.00,13,12
2021-04-05,859.02,350.00,89.00,30.00,16,12
2021-04-06,675.80,350.00,62.00,30.00,10,12
2021-04-07,549.08,350.00,70.00,30.00,18,12
2021-04-08,132.67,350.00,38.00,30.00,6,12
2021-04-09,551.23,350.00,43.00,30.00,12,12
2021-04-10,2.52,350.00,0.00,30.00,0,12
2021-04-11,896.15,350.00,119.00,30.00,15,12
2021-04-12,316.69,350.00,17.00,30.00,9,12
2021-04-13,482.34,350.00,41.00,30.00,8,12
2021-04-14,118.08,350.00,2.00,30.00,5,12
2021-04-15,790.45,350.00,79.00,30.00,13,12
2021-04-16,721.84,350.00,84.00,30.00,12,12
2021-04-17,211.40,350.00,4.00,30.00,8,12
2021-04-18,810.35,350.00,79.00,30.00,11,12
2021-04-19,963.87,350.00,80.00,30.00,13,12
2021-04-20,183.85,350.00,10.00,30.00,4,12
2021-04-21,347.75,350.00,28.00,30.00,9,12
2021-04-22,299.97,350.00,29.00,30.00,4,12
2021-04-23,93.09,350.00,0.00,30.00,2,12
2021-04-24,678.63,350.00,58.00,30.00,11,12
2021-04-25,937.47,350.00,77.00,30.00,15,12
2021-04-26,940.23,350.00,88.00,30.00,16,12
2021-04-27,871.21,350.00,89.00,30.00,10,12
2021-04-28,335.39,350.00,16.00,30.00,7,12
2021-04-29,444.17,350.00,27.00,30.00,10,12
2021-04-30,432.26,350.00,25.00,30.00,7,12
2021-05-01,508.94,350.00,11.00,30.00,11,12
2021-05-02,548.11,350.00,9.00,30.00,10,12
2021-05-03,541.28,350.00,13.00,30.00,16,12
2021-05-04,378.51,350.00,7.00,30.00,12,12
2021-05-05,572.64,350.00,40.00,30.00,17,12
2021-05-06,676.20,350.00,43.00,30.00,12,12
2021-05-07,449.42,350.00,40.00,30.00,11,12
2021-05-08,131.06,350.00,2.00,30.00,5,12
2021-05-09,470.39,350.00,34.00,30.00,11,12
2021-05-10,613.04,350.00,55.00,30.00,13,12
2021-05-11,1005.31,350.00,84.00,30.00,17,12
2021-05-12,0.00,350.00,0.00,30.00,0,12
2021-05-13,442.61,350.00,24.00,30.00,10,12
2021-05-14,476.95,350.00,39.00,30.00,10,12
2021-05-15,120.81,350.00,35.00,30.00,7,12
2021-05-16,681.67,350.00,72.00,30.00,15,12
2021-05-17,860.29,350.00,74.00,30.00,12,12
2021-05-18,718.94,350.00,69.00,30.00,10,12
2021-05-19,264.88,350.00,12.00,30.00,11,12
2021-05-20,0.00,350.00,0.00,30.00,0,12
2021-05-21,664.53,350.00,38.00,30.00,10,12
2021-05-22,350.36,350.00,19.00,30.00,9,12
2021-05-23,587.15,350.00,58.00,30.00,8,12
2021-05-24,734.32,350.00,62.00,30.00,14,12
2021-05-25,461.82,350.00,44.00,30.00,9,12
2021-05-26,554.35,350.00,37.00,30.00,13,12
2021-05-27,526.71,350.00,71.00,30.00,12,12
2021-05-28,688.55,350.00,59.00,30.00,12,12
2021-05-29,821.87,350.00,62.00,30.00,13,12
2021-05-30,293.50,350.00,47.00,30.00,9,12
2021-05-31,610.21,350.00,42.00,30.00,7,12
2021-06-01,906.99,350.00,88.00,30.00,13,12
2021-06-02,583.38,350.00,86.00,30.00,12,12
2021-06-03,534.49,350.00,67.00,30.00,17,12
2021-06-04,163.30,350.00,39.00,30.00,5,12
2021-06-05,140.69,350.00,36.00,30.00,9,12
2021-06-06,916.43,350.00,88.00,30.00,10,12
2021-06-07,458.79,350.00,38.00,30.00,9,12
2021-06-08,436.16,350.00,33.00,30.00,9,12
2021-06-09,675.42,350.00,71.00,30.00,8,12
2021-06-10,566.34,350.00,54.00,30.00,10,12
2021-06-11,809.91,350.00,94.00,30.00,12,12
2021-06-12,832.55,350.00,81.00,30.00,10,12
2021-06-13,267.72,350.00,83.00,30.00,7,12
2021-06-14,738.96,350.00,88.00,30.00,9,12
2021-06-15,289.01,350.00,14.00,30.00,9,12
2021-06-16,640.54,350.00,38.00,30.00,16,12
2021-06-17,646.43,350.00,27.00,30.00,13,12
2021-06-18,262.59,350.00,19.00,30.00,2,12
2021-06-19,280.53,350.00,85.00,30.00,9,12
2021-06-20,907.94,350.00,78.00,30.00,14,12
