Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2022-12-31,671.20,400.00,37.00,30.00,10,12
2023-01-01,806.73,400.00,41.00,30.00,15,12
2023-01-02,444.49,400.00,14.00,30.00,12,12
2023-01-03,403.18,400.00,41.00,30.00,11,12
2023-01-04,705.25,400.00,14.00,30.00,17,12
2023-01-05,0.00,400.00,0.00,30.00,0,12
2023-01-06,905.73,400.00,57.00,30.00,15,12
2023-01-07,61.85,400.00,0.00,30.00,2,12
2023-01-08,286.73,400.00,4.00,30.00,10,12
2023-01-09,465.89,400.00,18.00,30.00,11,12
2023-01-10,569.03,400.00,46.00,30.00,8,12
2023-01-11,414.39,400.00,13.00,30.00,12,12
2023-01-12,10.88,400.00,0.00,30.00,1,12
2023-01-13,0.82,400.00,0.00,30.00,0,12
2023-01-14,52.65,400.00,0.00,30.00,2,12
2023-01-15,690.46,400.00,53.00,30.00,11,12
2023-01-16,371.63,400.00,19.00,30.00,10,12
2023-01-17,344.52,400.00,8.00,30.00,10,12
2023-01-18,490.21,400.00,2.00,30.00,15,12
2023-01-19,326.98,400.00,35.00,30.00,2,12
2023-01-20,517.01,400.00,16.00,30.00,14,12
2023-01-21,275.92,400.00,1.00,30.00,11,12
2023-01-22,667.43,400.00,36.00,30.00,14,12
2023-01-23,410.51,400.00,3.00,30.00,16,12
2023-01-24,578.10,400.00,38.00,30.00,9,12
2023-01-25,168.19,400.00,3.00,30.00,7,12
2023-01-26,484.46,400.00,14.00,30.00,13,12
2023-01-27,589.79,400.00,39.00,30.00,12,12
2023-01-28,716.56,400.00,49.00,30.00,13,12
2023-01-29,0.63,400.00,0.00,30.00,0,12
2023-01-30,297.61,400.00,6.00,30.00,13,12
2023-01-31,764.03,400.00,44.00,30.00,15,12
2023-02-01,396.36,400.00,11.00,30.00,11,12
2023-02-02,777.52,400.00,43.00,30.00,18,12
2023-02-03,1028.55,400.00,67.00,30.00,12,12
2023-02-04,782.23,400.00,45.00,30.00,15,12
2023-02-05,702.40,400.00,43.00,30.00,14,12
2023-02-06,467.84,400.00,8.00,30.00,16,12
2023-02-07,939.29,400.00,78.00,30.00,14,12
2023-02-08,399.17,400.00,9.00,30.00,14,12
2023-02-09,0.00,400.00,0.00,30.00,0,12
2023-02-10,322.48,400.00,7.00,30.00,9,12
2023-02-11,1.19,400.00,0.00,30.00,0,12
2023-02-12,626.04,400.00,38.00,30.00,10,12
2023-02-13,464.75,400.00,8.00,30.00,12,12
2023-02-14,729.15,400.00,42.00,30.00,16,12
2023-02-15,346.00,400.00,13.00,30.00,11,12
2023-02-16,546.62,400.00,33.00,30.00,13,12
2023-02-17,908.19,400.00,57.00,30.00,12,12
2023-02-18,495.80,400.00,38.00,30.00,13,12
2023-02-19,712.21,400.00,46.00,30.00,14,12
2023-02-20,352.10,400.00,11.00,30.00,11,12
2023-02-21,565.23,400.00,51.00,30.00,7,12
2023-02-22,602.14,400.00,37.00,30.00,13,12
2023-02-23,782.92,400.00,42.00,30.00,15,12
2023-02-24,774.77,400.00,51.00,30.00,16,12
2023-02-25,966.71,400.00,66.00,30.00,13,12
2023-02-26,780.30,400.00,49.00,30.00,15,12
2023-02-27,447.34,400.00,11.00,30.00,15,12
