Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2021-12-31,0.00,350.00,0.00,30.00,0,12
2022-01-01,310.19,350.00,42.00,30.00,7,12
2022-01-02,121.14,350.00,3.00,30.00,7,12
2022-01-03,0.00,350.00,0.00,30.00,0,12
2022-01-04,406.69,350.00,22.00,30.00,9,12
2022-01-05,220.90,350.00,15.00,30.00,1,12
2022-01-06,514.64,350.00,43.00,30.00,12,12
2022-01-07,293.28,350.00,15.00,30.00,7,12
2022-01-08,391.70,350.00,32.00,30.00,7,12
2022-01-09,775.35,350.00,73.00,30.00,12,12
2022-01-10,777.63,350.00,82.00,30.00,10,12
2022-01-11,69.32,350.00,5.00,30.00,2,12
2022-01-12,664.52,350.00,67.00,30.00,8,12
2022-01-13,658.60,350.00,60.00,30.00,10,12
2022-01-14,719.14,350.00,63.00,30.00,13,12
2022-01-15,672.46,350.00,29.00,30.00,13,12
2022-01-16,841.58,350.00,74.00,30.00,14,12
2022-01-17,593.69,350.00,44.00,30.00,13,12
2022-01-18,849.66,350.00,89.00,30.00,11,12
2022-01-19,740.43,350.00,80.00,30.00,14,12
2022-01-20,457.25,350.00,58.00,30.00,12,12
2022-01-21,620.90,350.00,36.00,30.00,13,12
2022-01-22,464.67,350.00,30.00,30.00,10,12
2022-01-23,656.59,350.00,43.00,30.00,11,12
2022-01-24,2.85,350.00,15.00,30.00,1,12
2022-01-25,754.01,350.00,88.00,30.00,13,12
2022-01-26,22.98,350.00,29.00,30.00,2,12
2022-01-27,432.63,350.00,25.00,30.00,13,12
2022-02-07,0.00,350.00,0.00,30.00,0,12
2022-02-08,370.18,350.00,22.00,30.00,8,12
2022-02-09,47.27,350.00,1.00,30.00,3,12
2022-02-10,340.76,350.00,13.00,30.00,16,12
2022-02-11,41.98,350.00,0.00,30.00,1,12
2022-02-12,227.27,350.00,2.00,30.00,12,12
2022-02-13,12.47,350.00,0.00,30.00,0,12
2022-02-14,242.66,350.00,0.00,30.00,12,12
2022-02-15,478.45,350.00,39.00,30.00,9,12
2022-02-16,0.34,350.00,0.00,30.00,0,12
2022-02-19,0.00,350.00,32.00,30.00,1,12
2022-02-20,213.26,350.00,6.00,30.00,7,12
2022-02-21,653.52,350.00,80.00,30.00,9,12
2022-02-22,726.87,350.00,70.00,30.00,11,12
2022-02-23,4.87,350.00,0.00,30.00,0,12
2022-02-24,0.00,350.00,0.00,30.00,0,12
2022-02-25,830.30,350.00,78.00,30.00,16,12
2022-02-26,394.22,350.00,76.00,30.00,14,12
2022-02-27,506.26,350.00,61.00,30.00,13,12
2022-02-28,559.90,350.00,46.00,30.00,14,12
2022-03-01,451.87,350.00,39.00,30.00,11,12
2022-03-02,3.58,350.00,12.00,30.00,1,12
2022-03-03,479.07,350.00,61.00,30.00,8,12
2022-03-04,534.77,350.00,25.00,30.00,13,12
2022-03-05,745.78,350.00,66.00,30.00,10,12
2022-03-06,331.09,350.00,19.00,30.00,8,12
2022-03-07,0.00,350.00,30.00,30.00,1,12
2022-03-08,411.27,350.00,25.00,30.00,15,12
2022-03-09,475.54,350.00,33.00,30.00,11,12
2022-03-10,439.57,350.00,13.00,30.00,17,12
2022-03-11,4.04,350.00,51.00,30.00,2,12
2022-03-12,582.82,350.00,45.00,30.00,12,12
2022-03-13,668.27,350.00,60.00,30.00,12,12
