Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2025-01-06,0.00,500.00,0.00,30.00,0,12
2025-01-07,116.69,500.00,2.00,30.00,4,12
2025-01-08,782.61,500.00,54.00,30.00,11,12
2025-01-09,916.88,500.00,65.00,30.00,13,12
2025-01-10,4.89,500.00,0.00,30.00,0,12
2025-01-11,1125.61,500.00,73.00,30.00,16,12
2025-01-12,569.23,500.00,20.00,30.00,12,12
2025-01-13,878.27,500.00,52.00,30.00,14,12
2025-01-14,861.62,500.00,50.00,30.00,13,12
2025-01-15,933.25,500.00,55.00,30.00,14,12
2025-01-16,368.88,500.00,8.00,30.00,11,12
2025-01-17,457.19,500.00,15.00,30.00,14,12
2025-01-18,290.75,500.00,7.00,30.00,8,12
2025-01-19,367.29,500.00,9.00,30.00,12,12
2025-01-20,459.99,500.00,4.00,30.00,12,12
2025-01-21,392.25,500.00,10.00,30.00,12,12
2025-01-22,369.20,500.00,15.00,30.00,12,12
2025-01-23,313.84,500.00,6.00,30.00,11,12
2025-01-24,1059.46,500.00,78.00,30.00,12,12
2025-01-25,806.08,500.00,54.00,30.00,18,12
2025-01-26,860.17,500.00,51.00,30.00,14,12
2025-01-27,672.07,500.00,42.00,30.00,7,12
2025-01-28,838.18,500.00,66.00,30.00,12,12
2025-01-29,863.30,500.00,99.00,30.00,7,12
2025-01-30,1272.76,500.00,67.00,30.00,10,12
2025-01-31,553.35,500.00,59.00,30.00,14,12
2025-02-01,367.23,500.00,8.00,30.00,12,12
2025-02-02,592.56,500.00,33.00,30.00,16,12
2025-02-03,806.41,500.00,59.00,30.00,9,12
2025-02-04,755.09,500.00,56.00,30.00,14,12
2025-02-05,556.84,500.00,39.00,30.00,13,12
2025-02-06,447.60,500.00,18.00,30.00,15,12
2025-02-07,636.65,500.00,32.00,30.00,12,12
2025-02-08,697.10,500.00,59.00,30.00,12,12
2025-02-09,769.16,500.00,46.00,30.00,13,12
2025-02-10,430.50,500.00,9.00,30.00,11,12
2025-02-11,369.21,500.00,14.00,30.00,12,12
2025-02-12,952.86,500.00,56.00,30.00,15,12
2025-02-13,259.02,500.00,5.00,30.00,8,12
2025-02-14,1012.30,500.00,76.00,30.00,9,12
2025-02-15,0.00,500.00,0.00,30.00,0,12
2025-02-16,902.58,500.00,60.00,30.00,13,12
2025-02-17,233.70,500.00,2.00,30.00,9,12
2025-02-18,357.10,500.00,2.00,30.00,9,12
2025-02-19,785.39,500.00,49.00,30.00,12,12
2025-02-20,418.75,500.00,41.00,30.00,8,12
2025-02-21,684.53,500.00,70.00,30.00,14,12
2025-02-22,0.00,500.00,0.00,30.00,0,12
2025-02-23,693.10,500.00,54.00,30.00,13,12
2025-02-24,797.54,500.00,45.00,30.00,13,12
2025-02-25,790.60,500.00,48.00,30.00,15,12
2025-02-26,447.70,500.00,21.00,30.00,8,12
2025-02-27,965.85,500.00,62.00,30.00,14,12
2025-02-28,1033.87,500.00,90.00,30.00,12,12
2025-03-01,520.30,500.00,18.00,30.00,13,12
2025-03-02,855.50,500.00,61.00,30.00,14,12
2025-03-03,936.57,500.00,66.00,30.00,8,12
2025-03-04,787.76,500.00,49.00,30.00,10,12
2025-03-05,647.52,500.00,34.00,30.00,12,12
2025-03-06,396.34,500.00,6.00,30.00,15,12
2025-03-07,1393.00,500.00,85.00,30.00,16,12
2025-03-08,434.33,500.00,4.00,30.00,14,12
2025-03-09,493.09,500.00,20.00,30.00,11,12
