Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2018-12-31,451.44,350.00,64.00,30.00,11,12
2019-01-01,1553.86,350.00,124.00,30.00,11,12
2019-01-02,1472.18,350.00,110.00,30.00,12,12
2019-01-03,738.22,350.00,78.00,30.00,10,12
2019-01-04,837.88,350.00,85.00,30.00,17,12
2019-01-05,453.50,350.00,43.00,30.00,10,12
2019-01-06,140.06,350.00,13.00,30.00,5,12
2019-01-07,10.07,350.00,0.00,30.00,1,12
2019-01-08,535.97,350.00,54.00,30.00,13,12
2019-01-09,416.19,350.00,57.00,30.00,6,12
2019-01-10,845.45,350.00,86.00,30.00,12,12
2019-01-11,1173.50,350.00,86.00,30.00,7,12
2019-01-12,1335.89,350.00,91.00,30.00,11,12
2019-01-13,1037.79,350.00,100.00,30.00,15,12
2019-01-14,973.92,350.00,102.00,30.00,10,12
2019-01-15,1014.83,350.00,103.00,30.00,14,12
2019-01-16,362.92,350.00,26.00,30.00,9,12
2019-01-17,430.27,350.00,32.00,30.00,10,12
2019-01-18,372.48,350.00,46.00,30.00,9,12
2019-01-19,437.58,350.00,17.00,30.00,7,12
2019-01-24,0.00,350.00,0.00,30.00,0,12
2019-01-25,314.59,350.00,42.00,30.00,5,12
2019-01-26,585.84,350.00,64.00,30.00,12,12
2019-01-27,499.83,350.00,54.00,30.00,11,12
2019-01-28,302.06,350.00,14.00,30.00,8,12
2019-01-29,408.79,350.00,43.00,30.00,9,12
2019-01-30,159.66,350.00,2.00,30.00,5,12
2019-01-31,473.36,350.00,38.00,30.00,10,12
2019-02-01,271.87,350.00,13.00,30.00,5,12
2019-02-02,476.48,350.00,40.00,30.00,7,12
2019-02-03,429.12,350.00,29.00,30.00,11,12
2019-02-04,363.86,350.00,9.00,30.00,10,12
2019-02-05,327.15,350.00,18.00,30.00,8,12
2019-02-07,0.00,350.00,0.00,30.00,0,12
2019-02-08,452.69,350.00,32.00,30.00,11,12
2019-02-09,157.68,350.00,4.00,30.00,4,12
2019-02-11,0.00,350.00,0.00,30.00,0,12
2019-02-12,380.50,350.00,28.00,30.00,7,12
2019-02-13,316.24,350.00,33.00,30.00,6,12
2019-02-14,1166.39,350.00,95.00,30.00,12,12
2019-02-15,1250.70,350.00,101.00,30.00,14,12
2019-02-16,731.91,350.00,47.00,30.00,5,12
2019-02-17,406.54,350.00,34.00,30.00,10,12
2019-02-18,1132.14,350.00,80.00,30.00,12,12
2019-02-19,939.10,350.00,86.00,30.00,12,12
2019-02-20,454.87,350.00,28.00,30.00,10,12
2019-02-21,609.82,350.00,53.00,30.00,10,12
2019-02-22,559.53,350.00,59.00,30.00,12,12
2019-02-23,1177.46,350.00,129.00,30.00,14,12
2019-02-24,928.03,350.00,83.00,30.00,12,12
2019-02-25,215.70,350.00,20.00,30.00,6,12
2019-02-26,437.25,350.00,26.00,30.00,13,12
2019-02-27,256.42,350.00,19.00,30.00,7,12
2019-02-28,505.37,350.00,48.00,30.00,13,12
2019-03-01,1168.19,350.00,118.00,30.00,14,12
2019-03-02,745.60,350.00,68.00,30.00,17,12
2019-03-03,1205.67,350.00,88.00,30.00,14,12
2019-03-04,939.06,350.00,87.00,30.00,13,12
2019-03-05,1086.99,350.00,98.00,30.00,11,12
2019-03-06,487.46,350.00,43.00,30.00,10,12
2019-03-07,507.91,350.00,33.00,30.00,14,12
2019-03-08,1209.44,350.00,145.00,30.00,12,12
2019-03-09,723.00,350.00,65.00,30.00,16,12
2019-03-10,105.00,350.00,4.00,30.00,2,12
2019-03-11,892.13,350.00,76.00,30.00,11,12
2019-03-12,883.91,350.00,71.00,30.00,11,12
2019-03-13,300.65,350.00,18.00,30.00,7,12
2019-03-14,455.70,350.00,40.00,30.00,13,12
2019-03-15,204.33,350.00,24.00,30.00,4,12
2019-03-16,1352.51,350.00,100.00,30.00,10,12
2019-03-17,861.43,350.00,84.00,30.00,11,12
2019-03-18,529.79,350.00,56.00,30.00,11,12
2019-03-19,983.98,350.00,99.00,30.00,15,12
2019-03-20,56.20,350.00,8.00,30.00,2,12
2019-03-21,594.79,350.00,55.00,30.00,14,12
2019-03-22,995.93,350.00,108.00,30.00,10,12
2019-03-23,811.30,350.00,73.00,30.00,12,12
2019-03-24,786.80,350.00,88.00,30.00,9,12
2019-03-25,244.10,350.00,24.00,30.00,6,12
2019-03-26,26.67,350.00,1.00,30.00,2,12
2019-03-27,894.53,350.00,54.00,30.00,11,12
2019-03-28,154.10,350.00,23.00,30.00,3,12
2019-03-29,1214.63,350.00,131.00,30.00,11,12
2019-03-30,424.50,350.00,42.00,30.00,13,12
2019-03-31,683.14,350.00,83.00,30.00,14,12
2019-04-01,414.51,350.00,43.00,30.00,9,12
2019-04-02,333.30,350.00,21.00,30.00,11,12
2019-04-03,345.85,350.00,27.00,30.00,9,12
2019-04-04,396.20,350.00,42.00,30.00,8,12
2019-04-05,514.12,350.00,45.00,30.00,16,12
2019-04-06,970.41,350.00,83.00,30.00,14,12
2019-04-07,331.30,350.00,22.00,30.00,13,12
2019-04-08,783.97,350.00,76.00,30.00,12,12
2019-04-09,595.82,350.00,59.00,30.00,14,12
2019-04-10,524.35,350.00,50.00,30.00,13,12
2019-04-11,516.00,350.00,58.00,30.00,9,12
2019-04-12,546.81,350.00,62.00,30.00,13,12
2019-04-13,0.00,350.00,0.00,30.00,0,12
2019-04-14,1056.54,350.00,83.00,30.00,13,12
2019-04-15,754.75,350.00,69.00,30.00,15,12
2019-04-16,44.01,350.00,0.00,30.00,2,12
2019-04-17,0.00,350.00,0.00,30.00,0,12
2019-04-18,861.99,350.00,91.00,30.00,12,12
2019-04-19,463.81,350.00,11.00,30.00,10,12
2019-04-20,0.00,350.00,0.00,30.00,0,12
2019-04-21,658.10,350.00,88.00,30.00,10,12
2019-04-22,547.47,350.00,50.00,30.00,14,12
2019-04-23,34.98,350.00,0.00,30.00,2,12
2019-04-24,456.70,350.00,37.00,30.00,14,12
2019-04-25,445.28,350.00,30.00,30.00,12,12
2019-04-26,0.00,350.00,0.00,30.00,0,12
2019-04-27,48.29,350.00,2.00,30.00,1,12
2019-04-28,718.68,350.00,78.00,30.00,8,12
2019-04-29,375.61,350.00,44.00,30.00,9,12
2019-04-30,37.67,350.00,0.00,30.00,1,12
2019-05-02,0.00,350.00,0.00,30.00,0,12
2019-05-03,144.75,350.00,6.00,30.00,3,12
2019-05-04,344.99,350.00,29.00,30.00,11,12
2019-05-05,273.64,350.00,27.00,30.00,2,12
2019-05-06,636.36,350.00,54.00,30.00,6,12
2019-05-07,1017.04,350.00,71.00,30.00,12,12
2019-05-08,600.89,350.00,74.00,30.00,13,12
2019-05-09,559.84,350.00,46.00,30.00,4,12
2019-05-11,0.00,350.00,0.00,30.00,0,12
2019-05-12,364.18,350.00,26.00,30.00,11,12
2019-05-13,269.28,350.00,33.00,30.00,5,12
2019-05-14,71.09,350.00,4.00,30.00,1,12
2019-05-15,13.58,350.00,0.00,30.00,0,12
2019-05-16,83.53,350.00,7.00,30.00,1,12
2019-05-17,498.75,350.00,43.00,30.00,13,12
2019-05-18,0.00,350.00,0.00,30.00,0,12
2019-05-19,173.91,350.00,27.00,30.00,4,12
2019-05-20,174.44,350.00,21.00,30.00,4,12
2019-05-22,0.00,350.00,0.00,30.00,0,12
2019-05-23,290.21,350.00,16.00,30.00,7,12
2019-05-24,2.46,350.00,0.00,30.00,0,12
2019-05-25,2.04,350.00,1.00,30.00,0,12
2019-05-26,403.32,350.00,29.00,30.00,13,12
2019-05-28,0.00,350.00,0.00,30.00,0,12
2019-05-29,194.15,350.00,30.00,30.00,4,12
2019-05-31,0.00,350.00,0.00,30.00,0,12
2019-06-01,11.50,350.00,0.00,30.00,0,12
2019-06-03,0.00,350.00,0.00,30.00,0,12
2019-06-04,448.68,350.00,31.00,30.00,13,12
2019-06-06,0.09,350.00,0.00,30.00,0,12
2019-06-07,400.91,350.00,39.00,30.00,12,12
2019-06-08,388.47,350.00,30.00,30.00,10,12
2019-06-09,384.31,350.00,27.00,30.00,13,12
2019-06-10,166.71,350.00,26.00,30.00,3,12
2019-06-11,796.69,350.00,64.00,30.00,13,12
2019-06-12,122.87,350.00,17.00,30.00,2,12
2019-06-13,429.86,350.00,39.00,30.00,11,12
2019-06-15,0.00,350.00,0.00,30.00,0,12
2019-06-16,225.35,350.00,21.00,30.00,6,12
2019-06-17,993.51,350.00,99.00,30.00,15,12
2019-06-18,789.40,350.00,75.00,30.00,14,12
