Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2019-12-31,57.94,350.00,0.00,30.00,3,12
2020-01-01,734.95,350.00,73.00,30.00,13,12
2020-01-02,676.44,350.00,54.00,30.00,12,12
2020-01-03,599.33,350.00,37.00,30.00,14,12
2020-01-04,745.31,350.00,78.00,30.00,13,12
2020-01-05,865.69,350.00,91.00,30.00,13,12
2020-01-06,471.27,350.00,42.00,30.00,12,12
2020-01-07,513.93,350.00,41.00,30.00,13,12
2020-01-08,576.17,350.00,54.00,30.00,13,12
2020-01-09,739.45,350.00,58.00,30.00,15,12
2020-01-10,353.87,350.00,32.00,30.00,8,12
2020-01-11,440.11,350.00,18.00,30.00,10,12
2020-01-12,709.70,350.00,64.00,30.00,14,12
2020-01-13,601.97,350.00,58.00,30.00,15,12
2020-01-14,611.01,350.00,54.00,30.00,16,12
2020-01-15,481.42,350.00,48.00,30.00,10,12
2020-01-16,76.51,350.00,2.00,30.00,2,12
2020-01-19,0.00,350.00,0.00,30.00,0,12
2020-01-20,337.21,350.00,29.00,30.00,2,12
2020-01-21,558.75,350.00,33.00,30.00,15,12
2020-01-22,186.65,350.00,1.00,30.00,4,12
2020-01-26,0.00,350.00,0.00,30.00,0,12
2020-01-27,265.31,350.00,3.00,30.00,7,12
2020-01-28,438.24,350.00,39.00,30.00,11,12
2020-01-29,531.96,350.00,49.00,30.00,12,12
2020-01-30,441.31,350.00,50.00,30.00,10,12
2020-01-31,176.67,350.00,3.00,30.00,3,12
2020-02-01,120.18,350.00,0.00,30.00,6,12
2020-02-02,298.93,350.00,5.00,30.00,9,12
2020-02-03,115.77,350.00,1.00,30.00,5,12
2020-02-04,527.12,350.00,53.00,30.00,12,12
2020-02-05,40.86,350.00,3.00,30.00,3,12
2020-02-06,208.74,350.00,10.00,30.00,5,12
2020-02-07,145.28,350.00,2.00,30.00,6,12
2020-02-08,287.12,350.00,4.00,30.00,9,12
2020-02-09,367.89,350.00,11.00,30.00,14,12
2020-02-10,615.25,350.00,71.00,30.00,9,12
2020-02-11,205.66,350.00,1.00,30.00,11,12
2020-02-12,461.16,350.00,47.00,30.00,9,12
2020-02-13,165.52,350.00,0.00,30.00,5,12
2020-02-14,265.92,350.00,13.00,30.00,9,12
2020-02-15,449.78,350.00,52.00,30.00,8,12
2020-02-16,119.41,350.00,3.00,30.00,2,12
2020-02-17,294.39,350.00,21.00,30.00,8,12
2020-02-18,163.91,350.00,3.00,30.00,5,12
2020-02-19,326.89,350.00,12.00,30.00,9,12
2020-02-20,28.81,350.00,1.00,30.00,0,12
2020-02-21,506.79,350.00,41.00,30.00,14,12
2020-02-22,469.75,350.00,32.00,30.00,12,12
2020-02-23,425.31,350.00,22.00,30.00,9,12
2020-02-24,235.04,350.00,10.00,30.00,7,12
2020-02-25,432.33,350.00,21.00,30.00,10,12
2020-02-26,515.96,350.00,34.00,30.00,11,12
2020-02-27,721.46,350.00,49.00,30.00,15,12
