Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2023-12-31,697.56,330.00,65.00,30.00,3,12
2024-01-01,268.23,330.00,3.00,30.00,9,12
2024-01-02,832.66,330.00,52.00,30.00,7,12
2024-01-03,371.70,330.00,1.00,30.00,11,12
2024-01-04,870.33,330.00,56.00,30.00,12,12
2024-01-05,1633.38,330.00,102.00,30.00,15,12
2024-01-06,149.97,330.00,0.00,30.00,9,12
2024-01-07,871.75,330.00,57.00,30.00,15,12
2024-01-08,292.40,330.00,5.00,30.00,7,12
2024-01-09,886.24,330.00,55.00,30.00,11,12
2024-01-10,394.16,330.00,4.00,30.00,11,12
2024-01-11,403.65,330.00,0.00,30.00,14,12
2024-01-12,795.78,330.00,42.00,30.00,18,12
2024-01-13,854.38,330.00,58.00,30.00,11,12
2024-01-14,807.70,330.00,54.00,30.00,11,12
2024-01-15,355.91,330.00,2.00,30.00,11,12
2024-01-16,387.09,330.00,1.00,30.00,12,12
2024-01-17,400.61,330.00,2.00,30.00,12,12
2024-01-18,1175.09,330.00,62.00,30.00,13,12
2024-01-19,372.75,330.00,0.00,30.00,16,12
2024-01-20,703.04,330.00,51.00,30.00,8,12
2024-01-21,843.05,330.00,61.00,30.00,13,12
2024-01-22,426.68,330.00,4.00,30.00,13,12
2024-01-23,238.16,330.00,0.00,30.00,7,12
2024-01-24,602.62,330.00,11.00,30.00,12,12
2024-01-25,697.88,330.00,6.00,30.00,13,12
2024-01-26,305.74,330.00,0.00,30.00,13,12
2024-01-27,665.37,330.00,39.00,30.00,5,12
2024-01-28,488.59,330.00,19.00,30.00,14,12
2024-01-29,411.89,330.00,4.00,30.00,15,12
2024-01-30,979.60,330.00,60.00,30.00,15,12
2024-01-31,342.67,330.00,1.00,30.00,11,12
2024-02-01,913.05,330.00,53.00,30.00,15,12
2024-02-02,393.98,330.00,6.00,30.00,12,12
2024-02-03,361.54,330.00,6.00,30.00,13,12
2024-02-04,868.34,330.00,53.00,30.00,13,12
2024-02-05,284.01,330.00,4.00,30.00,11,12
2024-02-06,904.30,330.00,57.00,30.00,11,12
2024-02-07,374.60,330.00,8.00,30.00,13,12
2024-02-08,332.90,330.00,3.00,30.00,13,12
2024-02-09,280.35,330.00,2.00,30.00,10,12
2024-02-10,718.14,330.00,26.00,30.00,12,12
2024-02-11,369.37,330.00,3.00,30.00,15,12
