Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2018-03-02,0.00,0.00,0.00,30.00,0,12
2018-03-03,0.00,0.00,0.00,30.00,0,12
2018-03-04,0.00,350.00,0.00,30.00,0,12
2018-03-05,582.80,350.00,62.00,30.00,14,12
2018-03-06,282.49,350.00,38.00,30.00,6,12
2018-03-07,269.10,350.00,33.00,30.00,7,12
2018-03-10,0.00,350.00,0.00,30.00,0,12
2018-03-11,546.45,350.00,63.00,30.00,11,12
2018-03-12,339.97,350.00,39.00,30.00,8,12
2018-03-16,0.00,350.00,0.00,30.00,0,12
2018-03-17,133.70,350.00,7.00,30.00,4,12
2018-03-18,253.33,350.00,28.00,30.00,6,12
2018-03-19,721.92,350.00,86.00,30.00,14,12
2018-03-20,516.07,350.00,60.00,30.00,11,12
2018-03-22,0.00,350.00,0.00,30.00,0,12
2018-03-23,199.91,350.00,20.00,30.00,6,12
2018-03-24,373.81,350.00,40.00,30.00,8,12
2018-03-26,0.00,350.00,0.00,30.00,0,12
2018-03-27,246.51,350.00,33.00,30.00,5,12
2018-03-28,0.00,350.00,0.00,30.00,1,12
2018-03-29,532.41,350.00,70.00,30.00,9,12
2018-03-30,211.91,350.00,27.00,30.00,6,12
2018-03-31,245.94,350.00,25.00,30.00,7,12
2018-04-01,489.18,350.00,73.00,30.00,7,12
2018-04-02,69.74,350.00,11.00,30.00,1,12
2018-04-08,4.47,350.00,0.00,30.00,0,12
2018-04-09,351.17,350.00,29.00,30.00,7,12
2018-04-20,0.00,350.00,0.00,30.00,0,12
2018-04-21,417.52,350.00,39.00,30.00,8,12
2018-04-22,569.13,350.00,63.00,30.00,15,12
2018-04-23,364.77,350.00,39.00,30.00,9,12
2018-04-24,529.53,350.00,50.00,30.00,14,12
2018-04-26,0.00,350.00,0.00,30.00,0,12
2018-04-27,181.83,350.00,22.00,30.00,4,12
2018-04-28,699.29,350.00,65.00,30.00,10,12
2018-04-29,50.26,350.00,0.00,30.00,3,12
2018-04-30,239.20,350.00,11.00,30.00,8,12
2018-05-01,316.69,350.00,8.00,30.00,10,12
2018-05-03,0.00,350.00,0.00,30.00,0,12
2018-05-04,383.31,350.00,20.00,30.00,14,12
2018-05-05,485.70,350.00,45.00,30.00,15,12
2018-05-06,276.39,350.00,30.00,30.00,8,12
2018-05-07,667.75,350.00,73.00,30.00,13,12
2018-05-08,308.88,350.00,41.00,30.00,5,12
2018-05-09,0.00,350.00,0.00,30.00,0,12
2018-05-10,603.87,350.00,67.00,30.00,10,12
2018-05-14,0.00,350.00,0.00,30.00,0,12
2018-05-15,510.11,350.00,61.00,30.00,12,12
2018-05-18,0.00,350.00,0.00,30.00,0,12
2018-05-19,396.00,350.00,66.00,30.00,5,12
2018-05-20,452.64,350.00,71.00,30.00,6,12
2018-05-25,0.00,350.00,0.00,30.00,0,12
2018-05-26,462.02,350.00,55.00,30.00,10,12
2018-05-27,218.66,350.00,24.00,30.00,6,12
2018-05-28,588.52,350.00,57.00,30.00,13,12
