Start Date,End Date,Heart Rate,Source,Device
2024-09-05T10:30:00Z,2024-09-05T10:30:00Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:30:04Z,2024-09-05T10:30:04Z,154,马林康的Apple Watch,Apple Watch
2024-09-05T10:30:20Z,2024-09-05T10:30:20Z,155,马林康的Apple Watch,Apple Watch
2024-09-05T10:30:25Z,2024-09-05T10:30:25Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:31:15Z,2024-09-05T10:31:15Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:31:38Z,2024-09-05T10:31:38Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:31:43Z,2024-09-05T10:31:43Z,147,马林康的Apple Watch,Apple Watch
2024-09-05T10:31:44Z,2024-09-05T10:31:44Z,146,马林康的Apple Watch,Apple Watch
2024-09-05T10:31:49Z,2024-09-05T10:31:49Z,139,马林康的Apple Watch,Apple Watch
2024-09-05T10:31:54Z,2024-09-05T10:31:54Z,137,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:03Z,2024-09-05T10:32:03Z,145,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:08Z,2024-09-05T10:32:08Z,148,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:09Z,2024-09-05T10:32:09Z,149,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:29Z,2024-09-05T10:32:29Z,150,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:34Z,2024-09-05T10:32:34Z,150,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:43Z,2024-09-05T10:32:43Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:45Z,2024-09-05T10:32:45Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:53Z,2024-09-05T10:32:53Z,150,马林康的Apple Watch,Apple Watch
2024-09-05T10:32:58Z,2024-09-05T10:32:58Z,150,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:03Z,2024-09-05T10:33:03Z,151,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:05Z,2024-09-05T10:33:05Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:09Z,2024-09-05T10:33:09Z,153,马林康的Apple Watch,Apple Watch
