UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
93d14ea9-10e6-4431-b031-4e7e91b7a0e4,2024-01-01T07:00:45Z,2024-01-01T07:42:43Z,37,Running,2518.000,5594.16,0,0,0,486.94
2ed191ac-b5d2-4ac5-8018-cb6b25f48a52,2024-01-01T07:05:06Z,2024-01-01T08:15:47Z,37,Running,3726.875,10037.02,0,0,0,655.90
851800f5-bd0e-4c91-978f-cbb94cd0fbd6,2024-01-01T07:48:10Z,2024-01-01T08:21:40Z,37,Running,2010.000,4888.41,0,0,0,421.42
20f4bf99-db0b-47ee-9646-f94237e549fe,2024-01-02T13:30:58Z,2024-01-02T13:43:47Z,52,Walking,769.000,513.64,0,0,0,39.04
1e4b8a03-7cf2-492a-ab85-49040b3dd774,2024-01-03T09:52:35Z,2024-01-03T10:42:12Z,37,Running,2977.000,8400.53,0,0,0,713.87
437ef521-d2e1-49f3-bc0e-7abbc285cf85,2024-01-03T09:52:22Z,2024-01-03T10:47:34Z,37,Running,2920.482,8374.85,0,0,0,518.59
f67318cb-f719-4e67-863b-bdf1e9e31f6a,2024-01-05T09:56:43Z,2024-01-05T10:46:39Z,37,Running,2987.816,8319.70,0,0,0,517.61
edd0c2b7-ebcd-4a48-af33-a03ea1255a3f,2024-01-05T22:35:48Z,2024-01-05T23:21:58Z,37,Running,2768.332,8434.68,0,0,0,524.09
666392a9-a717-4157-b548-0e8f09db177f,2024-01-06T01:03:05Z,2024-01-06T01:44:13Z,52,Walking,2468.000,1882.50,0,0,0,135.45
b807dee4-f261-4318-b114-d3232b70a814,2024-01-06T03:40:24Z,2024-01-06T04:11:02Z,52,Walking,1838.000,1498.44,0,0,0,105.10
1d6a5ff1-bde5-476b-a2f1-221336194b3c,2024-01-08T09:59:46Z,2024-01-08T10:52:11Z,37,Running,3045.386,8355.53,0,0,0,523.88
53cdc8c1-295c-46dd-b3e1-0d5bfe93254d,2024-01-08T09:58:59Z,2024-01-08T10:56:08Z,37,Running,3429.000,8442.18,0,0,0,726.83
5f18c220-2f86-490b-9143-d74760a492c6,2024-01-10T09:54:29Z,2024-01-10T10:42:19Z,37,Running,2802.557,8307.28,0,0,0,521.65
26c06af1-28be-4032-926b-e3a73e406f30,2024-01-10T09:42:35Z,2024-01-10T10:57:28Z,37,Running,4493.000,8656.47,0,0,0,766.39
b8e657d7-a925-4b8a-8b45-5fa5958986b6,2024-01-12T21:58:03Z,2024-01-12T22:13:52Z,52,Walking,949.000,682.59,0,0,0,50.28
6f40cf5f-ae5e-422a-8710-834b0577c9ab,2024-01-12T23:02:50Z,2024-01-12T23:16:53Z,52,Walking,843.000,579.64,0,0,0,43.48
5de1023a-946d-41ee-bde2-cce6aca4c99b,2024-01-13T00:28:03Z,2024-01-13T01:10:47Z,52,Walking,2564.000,1997.82,0,0,0,142.55
e8d26d3a-5109-43c5-b336-efca2ac9ed07,2024-01-13T03:33:58Z,2024-01-13T04:22:42Z,52,Walking,2924.000,2398.74,0,0,0,167.83
e8b29dc7-0d57-4938-9752-f557ecc07a98,2024-01-14T09:26:48Z,2024-01-14T10:16:07Z,37,Running,2956.458,8316.25,0,0,0,524.04
744abf3d-3861-47c1-aef7-fb68afa895d2,2024-01-15T09:49:22Z,2024-01-15T10:38:15Z,37,Running,2907.318,8353.61,0,0,0,530.19
1e3b484d-16f0-421b-ad42-2511e5735a3c,2024-01-19T02:25:24Z,2024-01-19T02:40:57Z,52,Walking,933.000,489.56,0,0,0,41.50
fc14ab1b-78b5-4f58-91f8-e795a07954b4,2024-01-19T03:29:05Z,2024-01-19T03:53:35Z,52,Walking,1470.000,624.76,0,0,0,59.01
ec5b1826-bf28-4072-be8e-763ad85791fe,2024-01-19T09:49:51Z,2024-01-19T10:39:58Z,37,Running,3007.000,8404.08,0,0,0,800.29
ce7ba0aa-c72f-4157-9e7a-86f96ad3f27a,2024-01-19T09:36:31Z,2024-01-19T10:41:37Z,37,Running,3906.000,8483.08,0,0,0,740.31
d23eed04-fc21-4881-8ae2-09c3a7988437,2024-01-21T09:03:50Z,2024-01-21T09:51:28Z,37,Running,2854.206,8324.11,4.93,0,0,525.30
035ec353-4928-47bd-a668-6a3a2026695f,2024-01-21T08:59:19Z,2024-01-21T09:57:42Z,37,Running,3503.000,8681.19,0,0,0,746.93
f2c5bd92-499d-4cab-aab7-943091a28d39,2024-01-22T09:52:32Z,2024-01-22T10:42:13Z,37,Running,2934.129,8290.60,0,0,0,519.16
487fb9f5-a204-41f6-8579-2d370cc98860,2024-01-22T09:39:49Z,2024-01-22T10:44:34Z,37,Running,3885.000,8495.34,0,0,0,740.80
ff5f5876-3423-4cbb-900c-d81a87efc240,2024-01-27T23:46:07Z,2024-01-28T00:22:19Z,37,Running,2172.051,6492.35,0,0,0,418.99
2d1f5129-5846-4cbd-8b46-d0c6079c570c,2024-01-28T02:18:31Z,2024-01-28T03:24:59Z,52,Walking,3988.000,1714.21,0,0,0,160.90
f5f3c20e-b2d0-4c45-a0d2-f85ba9f6b9f8,2024-01-28T06:25:44Z,2024-01-28T06:39:28Z,52,Walking,824.000,418.02,0,0,0,36.03
ea8e91e4-aa57-4d70-a31c-3845fe4cc5dc,2024-01-28T08:24:37Z,2024-01-28T08:51:24Z,52,Walking,1607.000,636.86,0,0,0,62.48
b919fda2-e7de-4b8c-9fe7-fba4360502ee,2024-01-29T12:14:39Z,2024-01-29T12:29:06Z,37,Running,867.431,2021.14,5.54,0,0,125.74
