UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
b86b8c2b-6fa2-47d1-a5fa-f215c4b08e65,2022-12-31T23:14:20Z,2022-12-31T23:47:41Z,37,Running,2001.000,5076.59,0,0,0,476.00
c366fb63-a5cf-41a5-93a5-5c2309145910,2023-01-01T23:23:16Z,2023-01-01T23:56:16Z,37,Running,1953.000,5451.93,0,0,0,316.69
cc683a72-e682-4377-b5f9-d9099e1743f7,2023-01-04T09:19:23Z,2023-01-04T09:54:53Z,37,Running,2130.000,5023.82,0,0,0,422.00
0c777aa1-23df-4e5d-9406-58ea321c3b62,2023-01-04T15:23:27Z,2023-01-04T19:11:52Z,37,Running,13705.005,63.61,0,0,0,0.00
17580261-907c-4f9e-88a0-aee012975e9f,2023-01-04T19:11:57Z,2023-01-04T21:07:05Z,13,Cycling,6908.000,425.40,0,0,0,104.18
a3da5d37-9ee5-4efc-893b-9c8e21736ead,2023-01-04T19:11:58Z,2023-01-04T21:35:32Z,37,Running,8614.167,19.05,0,0,0,0.00
0eafeb0f-4a4f-4673-b4e1-cbb3e88085bd,2023-01-06T23:25:02Z,2023-01-07T00:04:30Z,37,Running,2352.000,5667.23,0,0,0,368.34
bb3c1ae6-f8b1-4d17-9735-0b88e478ce7f,2023-01-10T23:19:26Z,2023-01-10T23:25:31Z,37,Running,365.232,913.81,0,0,0,0.00
512027b2-a6d0-488a-931f-183c5540f4ca,2023-01-10T23:19:26Z,2023-01-10T23:25:33Z,37,Running,367.000,1020.77,0,0,0,75.61
4a2d86b1-8a53-4510-b816-abc4220cecb9,2023-01-10T23:27:11Z,2023-01-10T23:50:59Z,37,Running,1428.381,3518.69,0,0,0,0.00
9b14505e-5a27-41d1-be0d-6224042ee433,2023-01-10T23:27:11Z,2023-01-10T23:51:04Z,37,Running,1433.000,3740.02,0,0,0,251.31
6a54acb2-dd9a-42c6-a956-70f15655876f,2023-01-23T09:41:38Z,2023-01-23T10:14:25Z,37,Running,1952.000,5357.22,0,0,0,345.24
0753832e-f0d9-4f8a-926c-ad2fcdedd3ff,2023-01-25T09:57:52Z,2023-01-25T09:59:39Z,37,Running,107.000,717.37,0,0,0,58.65
7d285439-4d0b-4ef2-93d2-cac8b26f35e3,2023-01-25T09:57:52Z,2023-01-25T10:02:41Z,37,Running,289.045,566.97,0,0,0,0.00
08812eb8-8d74-4277-9eb5-41a65ccba2bc,2023-01-25T10:04:42Z,2023-01-25T10:31:33Z,37,Running,1611.000,4167.29,0,0,0,408.00
08a66824-e4b9-4499-8e5a-a24dba5dc2e6,2023-01-25T10:02:59Z,2023-01-25T10:31:36Z,37,Running,1717.000,4167.29,0,0,0,408.90
fc5962bb-0e64-4e8b-b64f-a90a7c747b44,2023-01-28T09:00:48Z,2023-01-28T09:00:59Z,37,Running,11.143,37.52,0,0,0,0.00
20fe23e8-61f5-4409-a3bf-723d7db612a8,2023-01-28T09:00:45Z,2023-01-28T09:33:24Z,37,Running,1959.000,5156.00,0,0,0,457.00
adf54549-33ef-4d15-a762-bbf068c6a930,2023-02-08T10:14:06Z,2023-02-08T11:04:54Z,37,Running,3048.000,8339.77,0,0,0,824.00
67988e04-19c3-4664-addc-b6db55556b49,2023-02-13T10:11:45Z,2023-02-13T10:29:07Z,37,Running,1042.000,3000.00,0,0,0,245.00
4484449a-fcb0-45c6-b1e5-08d462e08019,2023-02-13T10:30:40Z,2023-02-13T10:39:05Z,37,Running,505.237,1354.97,0,0,0,0.00
c1ff131b-d827-4455-b4a7-2bfa0329f08a,2023-02-13T10:29:55Z,2023-02-13T10:45:34Z,37,Running,939.000,2536.08,0,0,0,227.00
57ee522a-8ce6-4cf3-b59c-89b9421d02a7,2023-02-18T13:08:44Z,2023-02-18T13:08:44Z,13,Cycling,0.406,0.00,0,0,0,0.00
adf82eb7-fd1d-479d-b1fa-4d72a7ab8fd2,2023-02-18T13:04:31Z,2023-02-18T13:57:15Z,37,Running,3164.000,8024.78,0,0,0,745.00
5f51a84f-fe09-4e1b-9c9f-f419dcd29ecd,2023-02-20T10:09:49Z,2023-02-20T10:44:33Z,37,Running,2084.000,5673.87,0,0,0,470.00
ee0e0e92-0510-4283-b7fd-00cadd314352,2023-02-22T00:41:59Z,2023-02-22T04:50:07Z,37,Running,14888.409,9985.34,0,0,0,0.00
249ad127-e8af-45a8-843b-7baceea84632,2023-02-22T10:14:03Z,2023-02-22T10:31:14Z,37,Running,1031.000,2837.24,0,0,0,235.00
d5583fb8-54e2-4bf5-8bf9-9af704fa9b74,2023-02-23T09:42:01Z,2023-02-23T10:01:13Z,37,Running,1152.000,3040.42,0,0,0,252.00
f0727e0a-ba13-4bd5-be09-5ef75d3366a3,2023-02-23T10:43:17Z,2023-02-23T12:17:31Z,37,Running,5653.342,104.15,0,0,0,0.00
89b50843-ddd2-4a2a-9dda-c34ad6c1dde7,2023-02-24T10:13:01Z,2023-02-24T10:46:03Z,37,Running,1973.000,5931.90,0,0,0,353.10
6cce535c-5245-459d-8c73-f72c2d2c2ed3,2023-02-25T10:05:54Z,2023-02-25T10:39:54Z,37,Running,2021.000,5309.41,0,0,0,351.50
6b26d564-d898-491f-8349-d8a6c93ee3e1,2023-02-26T02:14:16Z,2023-02-26T03:24:28Z,52,Walking,4212.000,2278.95,0,0,0,185.28
2f951972-71a5-4da5-9db1-73051fcd71ca,2023-02-26T04:07:21Z,2023-02-26T04:47:14Z,52,Walking,2393.000,1769.61,0,0,0,125.42
9d732de6-48f8-4f85-a4f0-4d3fd1d4bce5,2023-02-26T07:57:08Z,2023-02-26T08:35:43Z,52,Walking,2315.000,1263.64,0,0,0,102.29
3cff344a-00f4-45c3-b806-6227797fb0c8,2023-02-27T10:14:56Z,2023-02-27T10:49:12Z,37,Running,2056.000,5610.46,0,0,0,506.00
a4a51e22-c088-4ebf-badd-d21312de802e,2023-02-27T23:42:40Z,2023-02-28T00:01:06Z,52,Walking,1106.000,476.81,0,0,0,43.47
21dc0ff4-f2c8-4aa9-894b-0df736717a84,2023-03-01T10:18:13Z,2023-03-01T10:22:29Z,37,Running,256.000,763.44,0,0,0,62.39
cefbdabd-6493-4606-97a7-1f5e6658b093,2023-03-01T10:18:13Z,2023-03-01T10:26:13Z,37,Running,479.833,1322.35,0,0,0,0.00
afdbf5dd-f08c-447e-8298-4b9fba4ce2a8,2023-03-01T10:26:57Z,2023-03-01T10:26:57Z,37,Running,0.086,0.25,0,0,0,0.00
21cc8418-f21a-46e8-bc84-279a4d9f7acc,2023-03-01T10:20:37Z,2023-03-01T11:09:25Z,37,Running,2928.000,7901.28,0,0,0,712.00
33d1b4a0-8fcd-457f-979b-0ff5e16cee27,2023-03-02T10:16:49Z,2023-03-02T10:37:04Z,37,Running,1210.000,3396.57,0,0,0,193.63
eb53ad90-9dab-4338-883c-915adb565614,2023-03-02T22:23:21Z,2023-03-02T22:56:15Z,52,Walking,1974.000,1569.79,0,0,0,108.13
13927d14-2933-46b8-bd86-d9bc4680501a,2023-03-02T23:54:49Z,2023-03-03T00:12:39Z,52,Walking,1070.000,735.19,0,0,0,53.70
aeb782f5-d117-4533-985c-22d53d0065ac,2023-03-03T03:44:26Z,2023-03-03T04:03:08Z,52,Walking,1122.000,712.28,0,0,0,53.82
60ca9234-bb56-42a8-b114-8fc443e20166,2023-03-03T05:50:48Z,2023-03-03T06:10:22Z,52,Walking,1174.000,542.79,0,0,0,47.71
a627766d-a551-466f-bb49-dd0aaa646f34,2023-03-03T11:03:24Z,2023-03-03T11:16:55Z,52,Walking,811.000,653.97,0,0,0,44.82
2326cbd2-fa59-4216-8327-3d0d19529795,2023-03-03T11:42:31Z,2023-03-03T11:59:05Z,52,Walking,994.000,894.62,0,0,0,58.86
fa1faa2b-8991-469c-bacf-538e492f49b2,2023-03-03T12:48:02Z,2023-03-03T13:08:02Z,52,Walking,1200.000,948.23,0,0,0,65.49
c54e19e0-dac8-4d4c-b7c5-052307e93022,2023-03-05T02:49:40Z,2023-03-05T03:17:28Z,52,Walking,1668.000,844.23,0,0,0,70.89
544eb366-3347-43d3-b2ba-6f9c26ba5da8,2023-03-05T03:21:08Z,2023-03-05T03:33:37Z,52,Walking,749.000,479.66,0,0,0,36.11
f283dbd6-8cfc-4572-8454-6ba478b2e298,2023-03-05T09:48:35Z,2023-03-05T10:39:12Z,37,Running,1342.000,3205.17,0,0,0,290.49
7ef80afb-194f-4c85-b1f3-e4625bd66319,2023-03-06T10:11:45Z,2023-03-06T10:46:04Z,37,Running,2027.000,5866.05,0,0,0,368.31
7d6e4b22-3b7b-430f-bfeb-67f50dd71371,2023-03-08T10:11:20Z,2023-03-08T10:31:41Z,37,Running,1090.000,3247.22,0,0,0,165.25
992a9a2e-dc68-4289-8b4a-bb039c67b69a,2023-03-08T10:00:19Z,2023-03-08T10:48:52Z,37,Running,2913.000,5824.55,0,0,0,499.43
6c035d07-d28d-466f-bda8-8e5a7bcac33c,2023-03-09T04:26:16Z,2023-03-09T05:01:46Z,52,Walking,2130.000,1999.51,0,0,0,129.67
69ac84d6-f9d0-42a0-826f-ddb73bfe5466,2023-03-11T08:07:37Z,2023-03-11T08:17:37Z,52,Walking,600.000,447.73,0,0,0,31.62
4bb2dccd-2509-4f43-b4b5-2ff9a5226449,2023-03-11T10:45:58Z,2023-03-11T11:28:52Z,52,Walking,2574.000,2016.33,0,0,0,139.70
52e12a56-b72c-4174-b1cf-27bc7110e274,2023-03-11T11:52:06Z,2023-03-11T12:08:26Z,52,Walking,980.000,423.64,0,0,0,38.59
2a2c2049-c8bc-4354-ad3e-f09a76e6cd1b,2023-03-11T12:25:18Z,2023-03-11T12:30:09Z,37,Running,291.411,723.60,0,0,0,0.00
6e845145-be0a-4fc9-ae92-2a79f815373f,2023-03-11T12:25:11Z,2023-03-11T12:39:42Z,37,Running,871.000,2255.50,0,0,0,243.00
236821e4-5d6f-4506-a238-a78dee3c3fe8,2023-03-12T10:10:24Z,2023-03-12T10:30:02Z,37,Running,1178.000,3191.87,0,0,0,264.00
b6ac5bd4-39b4-40ee-958c-e7090d3ee3cc,2023-03-12T10:06:06Z,2023-03-12T11:00:41Z,52,Walking,3275.000,4075.25,0,0,0,241.89
3fe6ed6c-2101-46e3-8191-4fec3006f52b,2023-03-13T10:16:39Z,2023-03-13T10:50:23Z,37,Running,1994.000,5807.31,0,0,0,413.63
f13769cd-a470-4c1e-b0fd-b508c0ccca1e,2023-03-15T01:17:45Z,2023-03-15T01:28:45Z,52,Walking,660.000,412.99,0,0,0,31.42
8cc25cb0-f4f9-4581-a398-091d903816e8,2023-03-15T03:19:02Z,2023-03-15T03:34:21Z,52,Walking,919.000,446.76,0,0,0,38.29
621aa495-8f9c-4074-9f71-e5517425e257,2023-03-15T10:15:19Z,2023-03-15T10:43:18Z,37,Running,1679.000,5013.37,0,0,0,286.02
414920f8-41fe-40f2-9f47-1ceaeca8c61f,2023-03-15T10:15:19Z,2023-03-15T10:44:16Z,37,Running,1737.316,4776.00,0,0,0,0.00
e5f7cd4c-b6da-478b-8bb0-9a818878780a,2023-03-15T10:15:19Z,2023-03-15T10:48:45Z,37,Running,1885.000,5620.52,0,0,0,331.58
