UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
9397df31-ec3d-4426-9b5c-7867fd790ff0,2021-01-01T00:06:58Z,2021-01-01T00:40:32Z,37,Running,2014.000,5053.06,0,0,0,432.61
5d63204c-523b-49f9-8ffc-57f958ec8f96,2021-01-02T00:26:58Z,2021-01-02T01:06:05Z,37,Running,2347.000,6024.37,0,0,0,515.27
42b438e1-d053-4f7f-be3e-2989905ef983,2021-01-03T10:09:30Z,2021-01-03T10:47:36Z,37,Running,2286.000,6038.05,0,0,0,514.56
6cd2bbe1-2ba8-4719-b139-afd13cf06318,2021-01-04T14:00:12Z,2021-01-04T14:33:55Z,37,Running,2023.000,5422.50,0,0,0,462.01
b0de4529-4fe8-4b34-b9c4-2ee6eacd5c86,2021-01-05T14:04:33Z,2021-01-05T14:37:51Z,37,Running,1998.000,5259.09,0,0,0,449.11
1af567f4-b4f2-4dae-9d15-39bf96b7bb97,2021-01-16T01:03:39Z,2021-01-16T01:36:01Z,37,Running,1942.000,5355.77,0,0,0,455.62
e5659944-ad06-4961-bfb2-ca22e2c3707d,2021-01-17T10:39:19Z,2021-01-17T11:10:59Z,37,Running,1900.000,5174.37,0,0,0,441.07
0038e04b-82bf-409d-a74f-0fb29116c855,2021-01-18T09:56:37Z,2021-01-18T10:29:47Z,37,Running,1990.000,5034.22,0,0,0,429.97
a13cfbac-cae8-4b81-a9bf-30334486235e,2021-01-19T09:56:12Z,2021-01-19T10:33:33Z,37,Running,2241.000,4537.06,0,0,0,398.77
acb0bc5b-c46d-456f-a77e-99de600b00bd,2021-01-20T09:56:58Z,2021-01-20T10:30:11Z,37,Running,1993.000,5046.81,0,0,0,432.06
8de2a5ff-ebc6-46d3-8240-aafee7eeb9fc,2021-01-26T09:54:09Z,2021-01-26T10:28:06Z,37,Running,2037.000,5063.75,0,0,0,0.44
ef4532cc-601d-4d5e-b33d-148fbe07eef8,2021-01-27T09:54:19Z,2021-01-27T10:26:57Z,37,Running,1958.000,5046.53,0,0,0,0.43
4fecc373-bdf0-4941-bd85-58c0d75a6ee0,2021-01-28T09:56:07Z,2021-01-28T10:27:19Z,37,Running,1872.000,5056.67,0,0,0,0.43
1e201678-a68b-4e2d-8ae1-35767b175d9c,2021-01-29T09:56:13Z,2021-01-29T10:31:08Z,37,Running,2095.000,5077.20,0,0,0,0.44
6e1e98ba-bf10-494a-a903-fc0fcab86070,2021-01-29T10:31:53Z,2021-01-29T10:35:36Z,50,Traditional Strength Training,223.051,0.00,0,0,0,17.00
57bd9b2e-36ad-4613-8fa3-e1a42155eb3b,2021-01-30T10:36:23Z,2021-01-30T11:09:22Z,37,Running,1979.000,5074.75,0,0,0,0.43
dd7dcb77-c2a8-43a8-8732-4119183f8ed7,2021-02-01T09:53:24Z,2021-02-01T10:25:21Z,37,Running,1917.000,5126.17,0,0,0,0.43
4028ba65-a82d-4e5a-ab28-c868bdbf274d,2021-02-02T09:50:08Z,2021-02-02T10:21:45Z,37,Running,1897.000,5061.80,0,0,0,0.43
ad866033-7ddf-4c24-925f-8d2dd044e0d9,2021-02-03T09:53:55Z,2021-02-03T10:26:36Z,37,Running,1961.000,5124.53,0,0,0,0.44
70b5a219-6caa-482d-b6e8-fb5305d431dc,2021-02-04T09:58:24Z,2021-02-04T10:31:32Z,37,Running,1988.000,5065.13,0,0,0,0.43
da89513a-b16c-4c8b-8d05-ab561a8487c9,2021-02-09T12:29:47Z,2021-02-09T13:02:08Z,37,Running,1941.000,5153.19,0,0,0,439.36
27779ef1-0251-4362-899b-07d07ebd228f,2021-02-10T09:37:00Z,2021-02-10T10:18:29Z,37,Running,2489.000,6724.83,0,0,0,0.57
dd623d18-0f3a-4459-9985-a5a8dec8d4b8,2021-02-15T10:18:05Z,2021-02-15T10:55:00Z,37,Running,2215.000,5111.00,0,0,0,0.44
4c3006e3-faff-4a15-bd81-4676f199803d,2021-02-22T09:45:22Z,2021-02-22T10:18:32Z,37,Running,1990.000,5041.07,0,0,0,0.43
3299f290-ba98-4773-aa6e-92aadcf4afb2,2021-02-24T09:57:25Z,2021-02-24T10:30:08Z,37,Running,1963.000,5060.81,0,0,0,0.43
716ce1ac-d671-4326-8403-829fbf1c7cd0,2021-03-01T09:49:36Z,2021-03-01T10:21:20Z,37,Running,1904.000,5115.02,0,0,0,435.00
49d121ed-d41d-4994-8b06-967f836e97ce,2021-03-06T09:39:19Z,2021-03-06T10:24:42Z,37,Running,2723.000,6273.08,0,0,0,539.00
8cdded1d-add9-4a22-b239-d8e518183adc,2021-03-07T10:17:06Z,2021-03-07T10:56:27Z,37,Running,2361.000,6045.53,0,0,0,516.00
b30dd8a7-fa7e-418b-ad34-4e769606febb,2021-03-08T09:44:41Z,2021-03-08T10:35:26Z,52,Walking,3045.000,3440.06,0,0,0,196.00
6198a511-4801-4d39-b4fd-457d496adfd3,2021-03-16T09:47:06Z,2021-03-16T10:29:40Z,52,Walking,2554.000,2841.43,0,0,0,166.00
58af9fd2-8a88-4499-b4e2-891f66b83634,2021-03-18T09:51:21Z,2021-03-18T10:25:02Z,37,Running,2021.000,5338.18,0,0,0,455.00
577c00f1-f404-4859-9a40-c2f17e4fd5fc,2021-03-20T09:49:25Z,2021-03-20T10:24:12Z,37,Running,2087.000,3550.49,0,0,0,320.00
59c395d1-398c-416a-80ea-4f8162c5a5a3,2021-03-21T09:41:10Z,2021-03-21T10:14:36Z,37,Running,2006.000,5233.20,0,0,0,448.00
ca749738-79ce-48b8-bf74-e67c93dea8b9,2021-04-03T10:06:58Z,2021-04-03T10:39:41Z,37,Running,1963.000,5359.32,0,0,0,455.51
d3451914-e271-495f-8222-a129c1ce7241,2021-04-03T23:41:52Z,2021-04-04T00:19:27Z,37,Running,2255.000,6015.30,0,0,0,513.00
6754e4cb-6f64-4daf-9801-17e3aa46cc36,2021-04-05T10:34:45Z,2021-04-05T11:08:55Z,37,Running,2050.000,5314.74,0,0,0,453.65
ab38a09c-d0c8-49eb-9001-1e0404416317,2021-04-05T22:31:45Z,2021-04-05T23:06:22Z,37,Running,2077.000,5520.52,0,0,0,469.00
c1637882-ef5d-4922-a6d6-318003314bc4,2021-04-06T09:53:32Z,2021-04-06T10:00:44Z,37,Running,432.000,1040.33,0,0,0,89.00
aff9f47d-ecdf-4f64-92cd-b702b87e70b4,2021-04-06T22:16:06Z,2021-04-06T22:53:09Z,37,Running,2223.000,6094.69,0,0,0,516.00
904dc510-7915-4799-b19d-6db01085a706,2021-04-07T22:15:43Z,2021-04-07T22:53:15Z,37,Running,2252.000,5397.90,0,0,0,465.00
63b57804-d49b-40e0-a3ec-707cb37b1f1d,2021-04-09T09:44:34Z,2021-04-09T10:20:10Z,37,Running,2136.000,5063.67,0,0,0,438.00
fbeadbd8-5850-428b-9e11-d6c51b7e500c,2021-04-11T22:23:00Z,2021-04-11T22:57:34Z,37,Running,2074.000,5450.70,0,0,0,466.00
1ed52974-8bc2-44d8-b8cb-918003b4533d,2021-04-12T09:57:32Z,2021-04-12T10:17:53Z,37,Running,1221.000,3052.10,0,0,0,261.00
516ea69d-1c22-425b-8ffc-0c4447f06f22,2021-04-14T09:50:43Z,2021-04-14T10:25:41Z,37,Running,2098.000,5093.54,0,0,0,437.00
8262cc61-2a02-4ece-8561-fbb99d33b92f,2021-04-16T09:44:06Z,2021-04-16T10:20:07Z,37,Running,2161.000,5041.23,0,0,0,435.84
85bf37aa-52b7-49bc-86a9-5820d8ce600c,2021-04-17T09:14:37Z,2021-04-17T09:52:54Z,37,Running,2297.000,5068.73,0,0,0,441.00
4de8f190-beac-4fba-9266-ae139176c85c,2021-04-19T09:42:19Z,2021-04-19T10:15:37Z,37,Running,1998.000,5286.30,0,0,0,450.00
44c2c390-fcbd-4a03-a3b7-43d7ba5e1b1c,2021-04-19T22:20:48Z,2021-04-19T22:53:11Z,37,Running,1943.000,5413.50,0,0,0,458.00
f5a2d4d9-5b45-4e4d-95bf-18475f688667,2021-04-26T09:41:27Z,2021-04-26T10:15:16Z,37,Running,2029.000,5148.53,0,0,0,442.00
60c515a3-9197-4800-9fae-25b1d4ba2d04,2021-04-27T09:38:09Z,2021-04-27T10:12:17Z,37,Running,2048.000,5169.88,0,0,0,441.00
