UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
f936f637-e283-4dfc-8845-458bf4fb9207,2026-01-01T10:00:10Z,2026-01-01T10:31:10Z,37,Running,1859.523,5007.94,0,0,0,327.40
8ff993e4-6de9-47eb-8277-7ae0cf30de66,2026-01-02T05:08:37Z,2026-01-02T06:08:50Z,37,Running,3612.695,10263.51,0,0,0,721.89
d251badc-44a4-40dd-9ff8-759b3b62f867,2026-01-02T13:47:33Z,2026-01-02T14:04:22Z,52,Walking,1009.700,801.07,0,0,0,51.02
289f9d1b-1ded-4a28-ad91-298001b7193c,2026-01-03T07:02:14Z,2026-01-03T07:42:12Z,37,Running,2397.970,6002.63,0,0,0,409.54
554e6314-eae9-4b08-94f7-dd78c4ed1883,2026-01-04T23:57:36Z,2026-01-05T00:22:13Z,52,Walking,1477.297,447.75,0,0,0,41.31
eaa32eaf-48e0-494a-8c73-99734990e20a,2026-01-05T00:30:32Z,2026-01-05T01:01:41Z,37,Running,1869.321,5032.03,0,0,0,333.06
32a0aca5-3e98-4063-8222-74f0d9c2f407,2026-01-06T04:06:30Z,2026-01-06T04:36:11Z,37,Running,1780.882,5030.96,27.37,0,0,329.03
44750e05-84d7-4f6e-8626-81fa3b6baa1a,2026-01-07T00:20:04Z,2026-01-07T00:50:27Z,37,Running,1822.927,5044.22,0,0,0,336.87
6990a6ec-a7d0-4c2d-9d3b-aa9470911a2e,2026-01-08T10:53:19Z,2026-01-08T11:03:43Z,37,Running,598.789,1276.48,6.52,0,0,83.55
455f20d9-9f0d-4990-91b2-ad36d5bc7aae,2026-01-08T11:13:32Z,2026-01-08T11:22:10Z,37,Running,465.748,1217.66,7.08,0,0,81.70
600d3741-cd7d-4d54-b438-91618ebd4c10,2026-01-12T04:16:46Z,2026-01-12T04:54:04Z,37,Running,2237.808,5178.11,22.47,0,0,329.86
54b3486b-83a8-48b7-8654-1cf77f2d9d92,2026-01-14T00:40:07Z,2026-01-14T01:10:07Z,37,Running,1800.699,5020.40,0,0,0,331.42
c6f3a914-9866-45f5-b692-4149ec27b67c,2026-01-15T00:27:17Z,2026-01-15T00:57:48Z,37,Running,1831.401,5140.59,0,0,0,353.93
49a9e603-2862-4657-9fd4-bb59e985be79,2026-01-15T13:47:18Z,2026-01-15T14:07:45Z,52,Walking,1227.100,552.97,34.53,0,0,38.89
25ee3724-4e1b-43de-98e9-4bd5af2aa55f,2026-01-16T04:06:09Z,2026-01-16T04:37:00Z,37,Running,1850.389,5085.07,28.50,0,0,333.20
f0fa016b-3165-4653-ad97-f914d682f994,2026-01-18T10:06:04Z,2026-01-18T10:35:44Z,37,Running,1779.783,5206.37,0,0,0,351.89
d369bec1-e869-4201-bdad-4d993731bace,2026-01-19T00:11:03Z,2026-01-19T00:40:55Z,37,Running,1792.113,5265.94,0,0,0,359.49
1ca55eb8-8b33-44d4-b164-c6280b3c647a,2026-01-19T22:19:24Z,2026-01-19T22:50:45Z,37,Running,1880.881,5227.94,21.10,0,0,346.26
