UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
9aa37541-f841-4ebb-9b93-6486112e3ede,2020-07-01T13:34:18Z,2020-07-01T14:22:15Z,37,Running,2877.000,4049.25,0,0,0,347.30
5dbdc583-1689-44c8-ac0a-aff3bb3679c6,2020-07-03T14:09:53Z,2020-07-03T14:48:42Z,37,Running,2329.000,2143.35,0,0,0,189.71
89e64515-4936-403f-99e5-1b110c8108ff,2020-07-06T14:32:55Z,2020-07-06T15:08:13Z,37,Running,2118.000,5074.83,0,0,0,437.29
effbb43f-1ee5-4ac1-b6de-f616596005ef,2020-07-07T14:37:03Z,2020-07-07T15:10:13Z,37,Running,1990.000,5038.94,0,0,0,432.25
5f493460-1f2b-425a-b46d-05a9ba75d510,2020-07-08T14:35:30Z,2020-07-08T15:13:40Z,37,Running,2290.000,5043.78,0,0,0,440.19
4a995e69-e53e-4e8f-928f-fc1c6e6b69cc,2020-07-20T12:49:31Z,2020-07-20T13:25:57Z,13,Cycling,2186.000,7653.06,0,0,0,160.66
bcf845b6-82e2-4dde-9061-2cb4a1490d06,2020-07-20T13:56:29Z,2020-07-20T14:24:03Z,37,Running,1654.000,1042.69,0,0,0,89.99
08dbc2e6-a5f9-4330-ad72-4898580d759c,2020-09-02T13:15:09Z,2020-09-02T13:38:20Z,37,Running,1391.000,2312.57,0,0,0,207.19
bd885aa5-8aa8-4002-a846-4069c948d8e2,2020-09-09T13:01:06Z,2020-09-09T13:39:48Z,37,Running,2322.000,5049.53,0,0,0,441.29
312c8104-4251-40bd-8b64-5ed9bd17e2b8,2020-09-10T13:04:15Z,2020-09-10T13:18:18Z,37,Running,843.000,2034.35,0,0,0,175.16
b282b91e-c09c-451a-9262-9adc360fe36b,2020-09-19T13:34:52Z,2020-09-19T13:54:10Z,37,Running,1158.000,3055.44,0,0,0,259.93
258dc7d0-5011-4103-9337-01264f781d1d,2020-09-21T11:21:49Z,2020-09-21T11:49:31Z,37,Running,1662.000,4048.12,0,0,0,348.23
63cc768e-ab29-46e7-ab31-3283373604de,2020-09-24T11:19:19Z,2020-09-24T11:48:53Z,37,Running,1774.000,2910.12,0,0,0,257.43
b8dd1493-a38c-488f-b6e4-48916a72b78f,2020-09-25T11:14:14Z,2020-09-25T11:47:18Z,37,Running,1984.000,4044.91,0,0,0,354.93
8efb4bf3-2315-4622-a531-54e5a11800bf,2020-10-02T11:43:18Z,2020-10-02T12:18:20Z,37,Running,2102.000,5060.69,0,0,0,435.63
dd2a35b4-35a2-44aa-ab5a-2a5d21526a01,2020-10-03T11:55:31Z,2020-10-03T12:28:50Z,37,Running,1999.000,5075.96,0,0,0,434.23
818c3cbc-8369-435e-a711-411b0358cea3,2020-10-05T10:55:21Z,2020-10-05T11:35:30Z,37,Running,2409.000,5512.79,0,0,0,479.16
4a170d93-2cc6-4217-84af-ad2f15867fc4,2020-10-06T11:08:26Z,2020-10-06T11:43:31Z,37,Running,2105.000,5058.47,0,0,0,435.58
5291dcc7-ac3e-4130-8ba0-10235d18f156,2020-10-06T13:55:13Z,2020-10-06T14:04:08Z,52,Walking,535.000,509.32,0,0,0,29.29
e9d3a078-5c65-44b3-8acc-06053bc433fa,2020-10-11T11:08:59Z,2020-10-11T11:44:13Z,37,Running,2114.000,5062.43,0,0,0,436.02
d2f25074-c9f1-4925-a34c-93028b461e11,2020-10-12T14:29:40Z,2020-10-12T15:03:44Z,37,Running,2044.000,5068.28,0,0,0,436.50
75bc31d3-3068-42b4-a2b8-e23a91350d3a,2020-10-13T14:48:40Z,2020-10-13T15:26:26Z,37,Running,2266.000,5039.71,0,0,0,439.54
8359f8f1-561e-4dcc-8ae0-7ae5321e629b,2020-10-16T14:27:30Z,2020-10-16T15:03:11Z,37,Running,2141.000,5054.70,0,0,0,437.19
78e5c763-7d9e-489e-91a6-2dacea97b179,2020-10-27T12:58:37Z,2020-10-27T13:38:34Z,13,Cycling,2397.000,8330.04,0,0,0,178.55
d7ff5d3f-c4b2-4299-ab21-808e94d75eb6,2020-11-01T12:06:58Z,2020-11-01T12:41:03Z,37,Running,2045.000,5103.99,0,0,0,439.93
1772e34f-8437-49cc-acbd-6acdbdc052b9,2020-11-10T14:30:05Z,2020-11-10T14:43:28Z,37,Running,803.000,2045.48,0,0,0,175.57
07290abb-94dd-4221-9f6c-1480d6119d41,2020-11-13T09:43:36Z,2020-11-13T10:15:28Z,37,Running,1912.000,5044.37,0,0,0,431.00
eba8fb0c-2eaf-43c0-adc3-04c5f8f68be4,2020-11-14T10:05:53Z,2020-11-14T10:38:52Z,37,Running,1979.000,5043.43,0,0,0,431.66
bbbcd799-eb16-4ccd-b588-058e754150a1,2020-11-19T09:42:21Z,2020-11-19T10:15:14Z,37,Running,1973.000,5051.81,0,0,0,430.52
99407a66-fc37-4512-8079-341318a456f5,2020-11-19T13:41:52Z,2020-11-19T13:44:43Z,37,Running,171.000,398.46,0,0,0,34.43
85aee2f6-b18e-4e8f-9f8f-e3b8aecc490e,2020-11-20T09:45:15Z,2020-11-20T10:17:31Z,37,Running,1936.000,5047.25,0,0,0,432.35
40a1eb22-2e1e-4aca-a9eb-fe846695a3fe,2020-11-21T11:15:15Z,2020-11-21T11:48:53Z,37,Running,2018.000,5082.79,0,0,0,434.80
b4b400c8-31d9-4eab-ad4b-e6e73ab4c2c7,2020-11-22T11:22:28Z,2020-11-22T11:51:01Z,37,Running,1713.000,5041.47,0,0,0,426.32
ff796406-2f31-45a0-9e40-f78d3c2583e6,2020-11-23T14:16:11Z,2020-11-23T14:45:04Z,37,Running,1733.000,5048.34,0,0,0,427.35
3f4e942e-21d7-47cb-b125-d02000e22f5c,2020-11-24T14:16:27Z,2020-11-24T14:49:25Z,37,Running,1978.000,5032.82,0,0,0,431.11
dbe203bb-575e-4065-91a7-a1841deda6d7,2020-11-26T09:39:41Z,2020-11-26T10:12:11Z,37,Running,1950.000,5044.59,0,0,0,430.90
0dab7083-34ff-4509-b58d-8d66392fdb96,2020-11-27T09:38:40Z,2020-11-27T10:10:39Z,37,Running,1919.000,5059.09,0,0,0,432.24
4515309d-91ac-40f3-8b09-1ff499f26868,2020-11-28T12:38:21Z,2020-11-28T13:15:43Z,37,Running,2242.000,6070.59,0,0,0,517.47
3b9bdd7b-c9f5-4f60-ba45-b0581b12ea0c,2020-11-29T11:42:44Z,2020-11-29T12:19:27Z,37,Running,2203.000,5028.35,0,0,0,435.85
1b41e91f-e334-4bb2-9a82-c29294a84ee8,2020-11-30T09:40:09Z,2020-11-30T10:02:48Z,37,Running,1359.000,3035.39,0,0,0,262.16
48bf676d-1dd3-40ac-b679-fc41b2aaba64,2020-12-02T09:54:10Z,2020-12-02T10:27:35Z,37,Running,2005.000,5053.96,0,0,0,431.80
f74b575d-05fe-4182-813f-3edb44d0c201,2020-12-03T09:57:18Z,2020-12-03T10:30:21Z,37,Running,1983.000,5042.16,0,0,0,431.35
2e7acc54-55a4-4632-a5e8-c37dfa47f8bc,2020-12-04T09:57:36Z,2020-12-04T10:25:16Z,37,Running,1660.000,4074.03,0,0,0,351.48
256d8f57-58e5-45dd-a8bc-21c71f7518fa,2020-12-05T14:11:52Z,2020-12-05T14:44:44Z,37,Running,1972.000,5449.63,0,0,0,463.25
debaca2e-51d3-4e7d-909b-aea5719d65dc,2020-12-06T11:51:43Z,2020-12-06T13:02:06Z,37,Running,4223.000,10926.20,0,0,0,932.32
71e32341-7546-445b-9ee4-541f09b58706,2020-12-08T09:56:20Z,2020-12-08T10:31:33Z,37,Running,2113.000,5143.48,0,0,0,442.33
d901dcaa-8544-42cc-89a2-9df822db06ef,2020-12-09T09:57:05Z,2020-12-09T10:31:15Z,37,Running,2050.000,5038.64,0,0,0,433.16
97514f00-e691-4974-a964-5e879f421567,2020-12-11T09:53:01Z,2020-12-11T10:13:46Z,37,Running,1245.000,3055.54,0,0,0,262.84
898a8479-1d2d-4d7c-824a-14bda999a928,2020-12-26T12:08:01Z,2020-12-26T12:41:45Z,37,Running,2024.000,5602.26,0,0,0,476.37
3c851a17-e150-4190-a2e0-b5aef0beb34b,2020-12-28T13:17:44Z,2020-12-28T13:33:44Z,13,Cycling,960.000,2798.91,0,0,0,45.36
