Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2018-01-01,7181.67,11088.00,0.00,0.00,0.00,0.00,0.00
2018-01-02,11819.18,15971.00,0.00,0.00,0.00,0.00,0.00
2018-01-03,5081.62,7739.00,0.00,0.00,0.00,0.00,0.00
2018-01-04,12330.76,16531.00,0.00,0.00,0.00,0.00,0.00
2018-01-05,8992.33,13680.00,0.00,0.00,0.00,0.00,0.00
2018-01-06,13622.28,19391.00,0.00,0.00,0.00,0.00,0.00
2018-01-07,6634.38,10404.00,0.00,0.00,0.00,0.00,0.00
2018-01-08,6709.66,10744.00,0.00,0.00,0.00,0.00,0.00
2018-01-09,4917.12,7513.00,0.00,0.00,0.00,0.00,0.00
2018-01-10,7238.58,11358.00,0.00,0.00,0.00,0.00,0.00
2018-01-11,9055.85,14334.00,0.00,0.00,0.00,0.00,0.00
2018-01-12,6762.19,11155.00,0.00,0.00,0.00,0.00,0.00
2018-01-13,1911.54,3248.00,0.00,0.00,0.00,0.00,0.00
2018-01-14,5894.58,9743.00,0.00,0.00,0.00,0.00,0.00
2018-01-15,6477.93,10783.00,0.00,0.00,0.00,0.00,0.00
2018-01-16,5037.75,8106.00,0.00,0.00,0.00,0.00,0.00
2018-01-17,5523.99,8870.00,0.00,0.00,0.00,0.00,0.00
2018-01-18,6881.56,10763.00,0.00,0.00,0.00,0.00,0.00
2018-01-19,8014.09,13073.00,0.00,0.00,0.00,0.00,0.00
2018-01-20,3066.75,5141.00,0.00,0.00,0.00,0.00,0.00
2018-01-21,6045.39,9679.00,0.00,0.00,0.00,0.00,0.00
2018-01-22,6707.57,10516.00,0.00,0.00,0.00,0.00,0.00
2018-01-23,5503.72,8585.00,0.00,0.00,0.00,0.00,0.00
2018-01-24,6126.85,10059.00,0.00,0.00,0.00,0.00,0.00
2018-01-25,6052.97,10030.00,0.00,0.00,0.00,0.00,0.00
2018-01-26,2949.88,5281.00,0.00,0.00,0.00,0.00,0.00
2018-01-27,7025.60,11160.00,0.00,0.00,0.00,0.00,0.00
2018-01-28,6372.34,9975.00,0.00,0.00,0.00,0.00,0.00
2018-01-29,5745.43,9132.00,0.00,0.00,0.00,0.00,0.00
2018-01-30,7147.66,11681.00,0.00,0.00,0.00,0.00,0.00
2018-01-31,5526.26,8903.00,0.00,0.00,0.00,0.00,0.00
2018-02-01,5909.26,9912.00,0.00,0.00,0.00,0.00,0.00
2018-02-02,5209.61,8595.00,0.00,0.00,0.00,0.00,0.00
2018-02-03,1947.06,3351.00,0.00,0.00,0.00,0.00,0.00
2018-02-04,5552.86,9109.00,0.00,0.00,0.00,0.00,0.00
2018-02-05,6572.70,11194.00,0.00,0.00,0.00,0.00,0.00
2018-02-06,7492.31,11782.00,0.00,0.00,0.00,0.00,0.00
2018-02-07,7405.00,12069.00,0.00,0.00,0.00,0.00,0.00
2018-02-08,6265.55,10241.00,0.00,0.00,0.00,0.00,0.00
2018-02-09,9020.85,14763.00,0.00,0.00,0.00,0.00,0.00
2018-02-10,7678.01,11858.00,0.00,0.00,0.00,0.00,0.00
2018-02-11,4158.34,6572.00,0.00,0.00,0.00,0.00,0.00
2018-02-12,3775.01,6432.00,0.00,0.00,0.00,0.00,0.00
2018-02-13,1851.97,3322.00,0.00,0.00,0.00,0.00,0.00
2018-02-14,3144.42,5084.00,0.00,0.00,0.00,0.00,0.00
2018-02-15,2568.76,3946.00,0.00,0.00,0.00,0.00,0.00
2018-02-16,2755.50,4813.00,0.00,0.00,0.00,0.00,0.00
2018-02-17,1578.65,2842.00,0.00,0.00,0.00,0.00,0.00
2018-02-18,1459.59,2286.00,0.00,0.00,0.00,0.00,0.00
2018-02-19,2671.53,4795.00,0.00,0.00,0.00,0.00,0.00
2018-02-20,7026.15,13080.00,0.00,0.00,0.00,0.00,0.00
2018-02-21,4886.56,8350.00,0.00,0.00,0.00,0.00,0.00
2018-02-22,3477.97,6327.00,0.00,0.00,0.00,0.00,0.00
2018-02-23,15.34,21.00,0.00,0.00,0.00,0.00,0.00
2018-02-24,2648.87,4290.00,0.00,0.00,0.00,0.00,0.00
2018-02-25,4477.29,7630.00,0.00,0.00,0.00,0.00,0.00
2018-02-26,5271.48,8574.00,0.00,0.00,0.00,0.00,0.00
2018-02-27,5301.18,8832.00,0.00,0.00,0.00,0.00,0.00
2018-02-28,4890.67,8085.00,0.00,0.00,0.00,0.00,0.00
2018-03-01,5696.65,9544.00,0.00,0.00,0.00,0.00,0.00
2018-03-02,2953.32,5300.00,0.00,0.00,0.00,0.00,0.00
2018-03-03,3253.36,5653.00,0.00,0.00,0.00,0.00,0.00
2018-03-04,6174.43,9863.00,0.00,0.00,0.00,0.00,0.00
2018-03-05,8523.71,11578.19,0.00,0.00,0.00,0.00,0.00
2018-03-06,9879.77,14499.00,0.00,0.00,0.00,0.00,0.00
2018-03-07,8106.50,11553.00,0.00,0.00,0.00,0.00,0.00
2018-03-08,6984.77,11294.00,0.00,0.00,0.00,0.00,0.00
2018-03-09,6835.34,11502.00,0.00,0.00,0.00,0.00,0.00
2018-03-10,6558.76,11205.00,0.00,0.00,0.00,0.00,0.00
2018-03-11,8670.84,12057.60,0.00,0.00,0.00,0.00,0.00
2018-03-12,7456.16,10341.23,0.00,0.00,0.00,0.00,0.00
2018-03-13,6226.12,9916.00,0.00,0.00,0.00,0.00,0.00
2018-03-14,8867.24,13693.00,0.00,0.00,0.00,0.00,0.00
2018-03-15,7839.08,12382.00,0.00,0.00,0.00,0.00,0.00
2018-03-16,2677.15,4601.00,0.00,0.00,0.00,0.00,0.00
2018-03-17,8494.40,13838.80,0.00,0.00,0.00,0.00,0.00
2018-03-18,7418.07,10690.00,0.00,0.00,0.00,0.00,0.00
2018-03-19,10990.96,14703.06,0.00,0.00,0.00,0.00,0.00
2018-03-20,6130.26,8180.94,0.00,0.00,0.00,0.00,0.00
2018-03-21,7241.60,11476.00,0.00,0.00,0.00,0.00,0.00
2018-03-22,7135.65,12067.00,0.00,0.00,0.00,0.00,0.00
2018-03-23,6833.41,10767.00,0.00,0.00,0.00,0.00,0.00
2018-03-24,9685.49,13427.00,0.00,0.00,0.00,0.00,0.00
2018-03-25,5239.54,8240.00,0.00,0.00,0.00,0.00,0.00
2018-03-26,7157.48,11760.00,0.00,0.00,0.00,0.00,0.00
2018-03-27,5157.91,6585.15,0.00,0.00,0.00,0.00,0.00
2018-03-28,6006.86,9113.00,0.00,0.00,0.00,0.00,0.00
2018-03-29,7868.65,10332.82,0.00,0.00,0.00,0.00,0.00
2018-03-30,3726.37,5048.51,0.00,0.00,0.00,0.00,0.00
2018-03-31,3903.78,5006.00,0.00,0.00,0.00,0.00,0.00
2018-04-01,8619.93,10960.34,0.00,0.00,0.00,0.00,0.00
2018-04-02,6916.75,10782.66,0.00,0.00,0.00,0.00,0.00
2018-04-03,6235.21,10085.00,0.00,0.00,0.00,0.00,0.00
2018-04-04,896.64,1435.00,0.00,0.00,0.00,0.00,0.00
2018-04-05,2232.19,3449.00,0.00,0.00,0.00,0.00,0.00
2018-04-06,10473.08,17629.00,0.00,0.00,0.00,0.00,0.00
2018-04-07,4265.62,6974.00,0.00,0.00,0.00,0.00,0.00
2018-04-08,5188.75,7842.00,0.00,0.00,0.00,0.00,0.00
2018-04-09,6127.87,8498.00,0.00,0.00,0.00,0.00,0.00
2018-04-10,5705.41,8578.00,0.00,0.00,0.00,0.00,0.00
2018-04-11,5635.73,8939.00,0.00,0.00,0.00,0.00,0.00
2018-04-12,5397.21,8365.00,0.00,0.00,0.00,0.00,0.00
2018-04-13,6022.04,9246.00,0.00,0.00,0.00,0.00,0.00
2018-04-14,8922.82,13457.00,0.00,0.00,0.00,0.00,0.00
2018-04-15,5793.81,8945.00,0.00,0.00,0.00,0.00,0.00
2018-04-16,4558.59,6966.00,0.00,0.00,0.00,0.00,0.00
2018-04-17,4660.45,7132.00,0.00,0.00,0.00,0.00,0.00
2018-04-18,5129.45,7959.00,0.00,0.00,0.00,0.00,0.00
2018-04-19,5164.97,8032.00,0.00,0.00,0.00,0.00,0.00
2018-04-20,15366.16,22693.00,0.00,0.00,0.00,0.00,0.00
2018-04-21,7489.16,9912.00,0.00,0.00,0.00,0.00,0.00
2018-04-22,7281.71,9130.25,0.00,0.00,0.00,0.00,0.00
2018-04-23,6051.50,8134.00,0.00,0.00,0.00,0.00,0.00
2018-04-24,7391.62,9642.00,0.00,0.00,0.00,0.00,0.00
2018-04-25,6045.30,9090.00,0.00,0.00,0.00,0.00,0.00
2018-04-26,7789.63,12139.00,0.00,0.00,0.00,0.00,0.00
2018-04-27,2888.46,3693.00,0.00,0.00,0.00,0.00,0.00
2018-04-28,9101.20,11588.00,0.00,0.00,0.00,0.00,0.00
2018-04-29,7073.42,12401.18,0.00,0.00,0.00,0.00,0.00
2018-04-30,5974.72,8824.58,0.00,0.00,0.00,0.00,0.00
2018-05-01,4989.74,6791.73,0.00,0.00,0.00,0.00,0.00
2018-05-02,8068.12,13533.00,0.00,0.00,0.00,0.00,0.00
2018-05-03,9088.39,14798.00,0.00,0.00,0.00,0.00,0.00
2018-05-04,3660.57,4690.00,0.00,0.00,0.00,0.00,0.00
2018-05-05,7950.48,10705.90,0.00,0.00,0.00,0.00,0.00
2018-05-06,7803.70,11512.00,0.00,0.00,0.00,0.00,0.00
2018-05-07,11423.32,14473.00,0.00,0.00,0.00,0.00,0.00
2018-05-08,8078.17,11065.00,0.00,0.00,0.00,0.00,0.00
2018-05-09,7434.73,11387.21,0.00,0.00,0.00,0.00,0.00
2018-05-10,11856.29,15443.79,0.00,0.00,0.00,0.00,0.00
2018-05-11,13707.22,21584.00,0.00,0.00,0.00,0.00,0.00
2018-05-12,4450.09,7443.00,0.00,0.00,0.00,0.00,0.00
2018-05-13,9835.65,15644.00,0.00,0.00,0.00,0.00,0.00
2018-05-14,5608.44,8713.42,0.00,0.00,0.00,0.00,0.00
2018-05-15,7826.61,9903.58,0.00,0.00,0.00,0.00,0.00
2018-05-16,11231.18,15520.00,0.00,0.00,0.00,0.00,0.00
2018-05-17,7298.95,9027.00,0.00,0.00,0.00,0.00,0.00
2018-05-18,9754.97,16826.00,0.00,0.00,0.00,0.00,0.00
2018-05-19,5670.41,7473.13,0.00,0.00,0.00,0.00,0.00
2018-05-20,7637.42,10034.00,0.00,0.00,0.00,0.00,0.00
2018-05-21,4940.81,7623.00,0.00,0.00,0.00,0.00,0.00
2018-05-22,4920.59,7389.00,0.00,0.00,0.00,0.00,0.00
2018-05-23,4978.32,7727.00,0.00,0.00,0.00,0.00,0.00
2018-05-24,5664.96,9311.00,0.00,0.00,0.00,0.00,0.00
2018-05-25,10755.60,19250.00,0.00,0.00,0.00,0.00,0.00
2018-05-26,7765.91,10021.00,0.00,0.00,0.00,0.00,0.00
2018-05-27,7968.58,12001.00,0.00,0.00,0.00,0.00,0.00
2018-05-28,9700.78,13055.00,0.00,0.00,0.00,0.00,0.00
2018-05-29,5504.31,7380.00,0.00,0.00,0.00,0.00,0.00
2018-05-30,7396.73,9326.84,0.00,0.00,0.00,0.00,0.00
2018-05-31,5990.66,8997.16,0.00,0.00,0.00,0.00,0.00
2018-06-01,5753.16,9321.00,0.00,0.00,0.00,0.00,0.00
2018-06-02,5357.30,7988.00,0.00,0.00,0.00,0.00,0.00
2018-06-03,11250.50,14001.00,0.00,0.00,0.00,0.00,0.00
2018-06-04,7569.18,9512.00,0.00,0.00,0.00,0.00,0.00
2018-06-05,7711.39,9835.00,0.00,0.00,0.00,0.00,0.00
2018-06-06,8972.05,12314.00,0.00,0.00,0.00,0.00,0.00
2018-06-07,7978.60,12489.00,0.00,0.00,0.00,0.00,0.00
2018-06-08,10291.64,12918.00,0.00,0.00,0.00,0.00,0.00
2018-06-09,3079.98,4149.44,0.00,0.00,0.00,0.00,0.00
2018-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-07-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-07-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-07-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-07-04,2516.81,3545.00,0.00,0.00,0.00,0.00,0.00
2018-07-05,6980.51,10737.00,0.00,0.00,0.00,0.00,0.00
2018-07-06,2640.83,4109.00,0.00,0.00,0.00,0.00,0.00
2018-07-07,13200.04,16804.00,0.00,0.00,0.00,0.00,0.00
2018-07-08,14279.53,15803.00,0.00,0.00,0.00,0.00,0.00
2018-07-09,6760.34,8472.80,0.00,0.00,0.00,0.00,0.00
2018-07-10,5285.17,7929.20,0.00,0.00,0.00,0.00,0.00
2018-07-11,12457.82,18611.00,0.00,0.00,0.00,0.00,0.00
2018-07-12,8377.37,13244.00,0.00,0.00,0.00,0.00,0.00
2018-07-13,17717.50,21007.00,0.00,0.00,0.00,0.00,0.00
2018-07-14,16004.27,18788.65,0.00,0.00,0.00,0.00,0.00
2018-07-15,5668.23,9281.00,0.00,0.00,0.00,0.00,0.00
2018-07-16,6493.42,8430.00,0.00,0.00,0.00,0.00,0.00
2018-07-17,9569.31,11052.00,0.00,0.00,0.00,0.00,0.00
2018-07-18,9824.59,11291.00,0.00,0.00,0.00,0.00,0.00
2018-07-19,8609.55,11171.00,0.00,0.00,0.00,0.00,0.00
2018-07-20,12399.73,21299.00,0.00,0.00,0.00,0.00,0.00
2018-07-21,20819.77,30113.00,0.00,0.00,0.00,0.00,0.00
2018-07-22,5347.77,8324.00,0.00,0.00,0.00,0.00,0.00
2018-07-23,4359.03,6739.00,0.00,0.00,0.00,0.00,0.00
2018-07-24,6166.59,9516.00,0.00,0.00,0.00,0.00,0.00
2018-07-25,5680.98,7946.00,0.00,0.00,0.00,0.00,0.00
2018-07-26,4730.05,6158.85,0.00,0.00,0.00,0.00,0.00
2018-07-27,8095.90,10708.15,0.00,0.00,0.00,0.00,0.00
2018-07-28,12765.13,21237.62,0.00,0.00,0.00,0.00,0.00
2018-07-29,8755.53,12860.38,0.00,0.00,0.00,0.00,0.00
2018-07-30,6331.44,8048.00,0.00,0.00,0.00,0.00,0.00
2018-07-31,7341.76,9161.00,0.00,0.00,0.00,0.00,0.00
2018-08-01,4575.33,6616.00,0.00,0.00,0.00,0.00,0.00
2018-08-02,7020.88,8911.00,0.00,0.00,0.00,0.00,0.00
2018-08-03,8136.03,13231.33,0.00,0.00,0.00,0.00,0.00
2018-08-04,6070.70,10674.00,0.00,0.00,0.00,0.00,0.00
2018-08-05,6350.01,10456.00,0.00,0.00,0.00,0.00,0.00
2018-08-06,3423.14,5135.00,0.00,0.00,0.00,0.00,0.00
2018-08-07,2873.66,4754.00,0.00,0.00,0.00,0.00,0.00
2018-08-08,4664.11,7347.00,0.00,0.00,0.00,0.00,0.00
2018-08-09,4713.98,7436.00,0.00,0.00,0.00,0.00,0.00
2018-08-10,13856.45,23528.00,0.00,0.00,0.00,0.00,0.00
2018-08-11,10207.91,15785.00,0.00,0.00,0.00,0.00,0.00
2018-08-12,5408.48,7328.00,0.00,0.00,0.00,0.00,0.00
2018-08-13,7081.67,10498.00,0.00,0.00,0.00,0.00,0.00
2018-08-14,3595.23,4790.00,0.00,0.00,0.00,0.00,0.00
2018-08-15,6181.15,6869.00,0.00,0.00,0.00,0.00,0.00
