Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2021-01-01,8194.64,9986.00,0.00,0.00,0.00,0.00,0.00
2021-01-02,11465.31,14970.00,0.00,0.00,0.00,0.00,0.00
2021-01-03,15403.52,21747.16,0.00,0.00,0.00,0.00,0.00
2021-01-04,15186.34,20722.00,0.00,0.00,0.00,0.00,0.00
2021-01-05,7928.80,11541.00,0.00,0.00,0.00,0.00,0.00
2021-01-06,9728.94,14292.00,0.00,0.00,0.00,0.00,0.00
2021-01-07,8857.62,13771.00,0.00,0.00,0.00,0.00,0.00
2021-01-08,8576.84,14566.00,0.00,0.00,0.00,0.00,0.00
2021-01-09,7801.77,11584.00,0.00,0.00,0.00,0.00,0.00
2021-01-10,10906.49,16233.00,0.00,0.00,0.00,0.00,0.00
2021-01-11,10257.50,15659.34,0.00,0.00,0.00,0.00,0.00
2021-01-12,10534.38,15633.00,0.00,0.00,0.00,0.00,0.00
2021-01-13,9608.69,14132.00,0.00,0.00,0.00,0.00,0.00
2021-01-14,12155.77,18049.00,0.00,0.00,0.00,0.00,0.00
2021-01-15,8397.79,10477.00,0.00,0.00,0.00,0.00,0.00
2021-01-16,8150.99,10415.00,0.00,0.00,0.00,0.00,0.00
2021-01-17,14840.90,19873.00,0.00,0.00,0.00,0.00,0.00
2021-01-18,13349.79,18700.00,0.00,0.00,0.00,0.00,0.00
2021-01-19,14184.90,19447.78,0.00,0.00,0.00,0.00,0.00
2021-01-20,8412.45,12767.22,0.00,0.00,0.00,0.00,0.00
2021-01-21,7356.16,11006.57,0.00,0.00,0.00,0.00,0.00
2021-01-22,7539.99,11224.43,0.00,0.00,0.00,0.00,0.00
2021-01-23,8459.99,13004.00,0.00,0.00,0.00,0.00,0.00
2021-01-24,10665.00,16862.00,0.00,0.00,0.00,0.00,0.00
2021-01-25,15152.53,20828.00,0.00,0.00,0.00,0.00,0.00
2021-01-26,12112.42,16121.00,0.00,0.00,0.00,0.00,0.00
2021-01-27,13368.68,18062.00,0.00,0.00,0.00,0.00,0.00
2021-01-28,13935.87,18779.00,0.00,0.00,0.00,0.00,0.00
2021-01-29,12582.01,16748.00,0.00,0.00,0.00,0.00,0.00
2021-01-30,4775.19,7266.00,0.00,0.00,0.00,0.00,0.00
2021-01-31,13839.59,20142.00,0.00,0.00,0.00,0.00,0.00
2021-02-01,12162.17,16391.56,0.00,0.00,0.00,0.00,0.00
2021-02-02,12867.06,17366.32,0.00,0.00,0.00,0.00,0.00
2021-02-03,14379.96,19895.68,0.00,0.00,0.00,0.00,0.00
2021-02-04,9496.80,14296.00,0.00,0.00,0.00,0.00,0.00
2021-02-05,6625.26,10222.00,0.00,0.00,0.00,0.00,0.00
2021-02-06,9067.47,13990.89,0.00,0.00,0.00,0.00,0.00
2021-02-07,10742.09,16178.20,0.00,0.00,0.00,0.00,0.00
2021-02-08,11948.63,16088.00,0.00,0.00,0.00,0.00,0.00
2021-02-09,11724.49,15128.03,0.00,0.00,0.00,0.00,0.00
2021-02-10,2668.08,4147.62,0.00,0.00,0.00,0.00,0.00
2021-02-11,7670.88,11615.38,0.00,0.00,0.00,0.00,0.00
2021-02-12,958.10,1474.00,0.00,0.00,0.00,0.00,0.00
2021-02-13,4431.05,6564.00,0.00,0.00,0.00,0.00,0.00
2021-02-14,9476.44,12427.00,0.00,0.00,0.00,0.00,0.00
