Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2025-01-01,0.00,0.00,0.00,0.00,9317.40,0.00,0.00
2025-01-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-01-07,1347.76,1783.00,0.00,0.00,0.00,0.00,0.00
2025-01-08,9985.38,11137.41,0.00,0.00,0.00,0.00,0.00
2025-01-09,12021.22,13449.05,0.00,0.00,0.00,0.00,0.00
2025-01-10,422.36,761.00,0.00,0.00,0.00,0.00,0.00
2025-01-11,17231.65,20945.00,0.00,0.00,0.00,0.00,0.00
2025-01-12,8115.80,9540.00,0.00,0.00,0.00,0.00,0.00
2025-01-13,12043.87,13468.00,0.00,0.00,0.00,0.00,0.00
2025-01-14,11497.59,13280.63,0.00,0.00,0.00,0.00,0.00
2025-01-15,12261.31,14139.00,0.00,0.00,0.00,0.00,0.00
2025-01-16,3265.85,4472.00,0.00,0.00,0.00,0.00,0.00
2025-01-17,5241.63,7348.00,0.00,0.00,0.00,0.00,0.00
2025-01-18,5158.43,7223.00,0.00,0.00,0.00,0.00,0.00
2025-01-19,3272.54,4418.00,0.00,0.00,0.00,0.00,0.00
2025-01-20,4982.30,6823.00,0.00,0.00,0.00,0.00,0.00
2025-01-21,3801.47,5092.26,0.00,0.00,0.00,0.00,0.00
2025-01-22,4221.98,5692.29,0.00,0.00,0.00,0.00,0.00
2025-01-23,2563.24,3459.00,0.00,0.00,0.00,0.00,0.00
2025-01-24,15232.44,17476.00,0.00,0.00,0.00,0.00,0.00
2025-01-25,8802.04,11889.00,0.00,0.00,0.00,0.00,0.00
2025-01-26,10942.84,12577.00,0.00,0.00,0.00,0.00,0.00
2025-01-27,9570.38,10607.00,0.00,0.00,0.00,0.00,0.00
2025-01-28,13044.11,18595.58,0.00,0.00,0.00,0.00,0.00
2025-01-29,16621.14,23918.00,0.00,0.00,0.00,0.00,0.00
2025-01-30,16246.92,8804.00,0.00,0.00,0.00,0.00,0.00
2025-01-31,8090.15,11953.00,0.00,0.00,0.00,0.00,0.00
2025-02-01,4119.81,5527.00,0.00,0.00,0.00,0.00,0.00
2025-02-02,7024.54,9865.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,13506.76,15960.81,0.00,0.00,0.00,0.00,0.00
2025-02-04,10338.76,11581.46,0.00,0.00,0.00,0.00,0.00
2025-02-05,7487.55,9984.00,0.00,0.00,0.00,0.00,0.00
2025-02-06,4668.84,5807.00,0.00,0.00,0.00,0.00,0.00
2025-02-07,9196.01,13078.00,0.00,0.00,0.00,0.00,0.00
2025-02-08,9030.01,11981.00,0.00,0.00,0.00,0.00,0.00
2025-02-09,10111.74,10963.00,0.00,0.00,0.00,0.00,0.00
2025-02-10,4047.71,5529.00,0.00,0.00,0.00,0.00,0.00
2025-02-11,4141.04,5494.00,0.00,0.00,0.00,0.00,0.00
2025-02-12,13009.59,14678.00,0.00,0.00,0.00,0.00,0.00
2025-02-13,2431.24,3251.00,0.00,0.00,0.00,0.00,0.00
2025-02-14,16429.13,19031.00,0.00,0.00,0.00,0.00,0.00
2025-02-15,4.90,10.00,0.00,0.00,0.00,0.00,0.00
2025-02-16,11327.89,12518.91,0.00,0.00,0.00,0.00,0.00
2025-02-17,2443.26,3324.00,0.00,0.00,0.00,0.00,0.00
2025-02-18,2847.63,3806.00,0.00,0.00,0.00,0.00,0.00
2025-02-19,10863.73,12409.83,0.00,0.00,0.00,0.00,0.00
2025-02-20,7065.46,9864.00,0.00,0.00,0.00,0.00,0.00
2025-02-21,12061.60,17686.00,0.00,0.00,0.00,0.00,0.00
2025-02-22,2611.27,3871.00,0.00,0.00,0.00,0.00,0.00
2025-02-23,9047.74,10094.00,0.00,0.00,0.00,0.00,0.00
2025-02-24,10020.43,10724.00,0.00,0.00,0.00,0.00,0.00
2025-02-25,10624.13,11788.00,0.00,0.00,0.00,0.00,0.00
2025-02-26,5963.56,7014.00,0.00,0.00,0.00,0.00,0.00
2025-02-27,12657.85,13264.00,0.00,0.00,0.00,0.00,0.00
2025-02-28,13163.89,15447.00,0.00,0.00,0.00,0.00,0.00
2025-03-01,5935.37,7938.00,0.00,0.00,0.00,0.00,0.00
2025-03-02,11256.02,11577.04,0.00,0.00,0.00,0.00,0.00
2025-03-03,12652.14,12410.80,0.00,0.00,0.00,0.00,0.00
2025-03-04,10216.08,11389.52,0.00,0.00,0.00,0.00,0.00
2025-03-05,7770.16,9000.00,0.00,0.00,0.00,0.00,0.00
2025-03-06,3887.44,5164.00,0.00,0.00,0.00,0.00,0.00
2025-03-07,21094.91,25334.00,0.00,0.00,0.00,0.00,0.00
2025-03-08,4829.94,6611.00,0.00,0.00,0.00,0.00,0.00
2025-03-09,6954.85,9600.54,0.00,0.00,0.00,0.00,0.00
2025-03-10,9908.89,10235.00,0.00,0.00,0.00,0.00,0.00
