Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2022-01-01,7115.05,10092.00,0.00,0.00,0.00,0.00,0.00
2022-01-02,12787.79,15972.00,0.00,0.00,0.00,0.00,0.00
2022-01-03,10198.66,15214.00,0.00,0.00,0.00,0.00,0.00
2022-01-04,11594.12,16457.00,0.00,0.00,0.00,0.00,0.00
2022-01-05,11150.48,16337.94,0.00,0.00,0.00,0.00,0.00
2022-01-06,13094.18,20380.72,0.00,0.00,0.00,0.00,0.00
2022-01-07,15930.10,20563.00,0.00,0.00,0.00,0.00,0.00
2022-01-08,12292.93,19747.00,0.00,0.00,0.00,0.00,0.00
2022-01-09,14399.90,20615.00,0.00,0.00,0.00,0.00,0.00
2022-01-10,12558.95,17137.00,0.00,0.00,0.00,0.00,0.00
2022-01-11,9417.84,15058.00,0.00,0.00,0.00,0.00,0.00
2022-01-12,15382.61,21497.00,0.00,0.00,0.00,0.00,0.00
2022-01-13,16288.51,24748.00,0.00,0.00,0.00,0.00,0.00
2022-01-14,12159.31,15034.00,0.00,0.00,0.00,0.00,0.00
2022-01-15,13317.07,20148.76,0.00,0.00,0.00,0.00,0.00
2022-01-16,14730.50,20508.00,0.00,0.00,0.00,0.00,0.00
2022-01-17,10761.16,14797.87,0.00,0.00,0.00,0.00,0.00
2022-01-18,14938.31,20376.04,0.00,0.00,0.00,0.00,0.00
2022-01-19,13590.39,20273.21,0.00,0.00,0.00,0.00,0.00
2022-01-20,10188.09,16377.18,0.00,0.00,0.00,0.00,0.00
2022-01-21,9941.78,14815.00,0.00,0.00,0.00,0.00,0.00
2022-01-22,11797.13,15171.86,0.00,0.00,0.00,0.00,0.00
2022-01-23,12036.06,18033.00,0.00,0.00,0.00,0.00,0.00
2022-01-24,10492.61,17321.00,0.00,0.00,0.00,0.00,0.00
2022-01-25,12303.71,15915.00,0.00,0.00,0.00,0.00,0.00
2022-01-26,13728.04,21392.15,0.00,0.00,0.00,0.00,0.00
2022-01-27,11519.54,18104.85,0.00,0.00,0.00,0.00,0.00
2022-01-28,8439.17,13941.00,0.00,0.00,0.00,0.00,0.00
2022-01-29,5174.07,8268.00,0.00,0.00,0.00,0.00,0.00
2022-01-30,8011.97,12618.00,0.00,0.00,0.00,0.00,0.00
2022-01-31,3726.45,6459.00,0.00,0.00,0.00,0.00,0.00
2022-02-01,3226.04,5273.00,0.00,0.00,0.00,0.00,0.00
2022-02-02,1049.77,1942.00,0.00,0.00,0.00,0.00,0.00
2022-02-03,1715.77,2901.00,0.00,0.00,0.00,0.00,0.00
2022-02-04,1478.89,2566.00,0.00,0.00,0.00,0.00,0.00
2022-02-05,653.23,1198.00,0.00,0.00,0.00,0.00,0.00
2022-02-06,12828.81,15299.00,0.00,0.00,0.00,0.00,0.00
2022-02-07,527.83,921.00,0.00,0.00,0.00,0.00,0.00
2022-02-08,8145.69,11788.00,0.00,0.00,0.00,0.00,0.00
2022-02-09,6207.53,10190.00,0.00,0.00,0.00,0.00,0.00
2022-02-10,3998.85,6112.40,0.00,0.00,0.00,0.00,0.00
2022-02-11,778.90,1356.60,0.00,0.00,0.00,0.00,0.00
2022-02-12,2076.18,3107.00,0.00,0.00,0.00,0.00,0.00
2022-02-13,8293.38,13674.00,0.00,0.00,0.00,0.00,0.00
2022-02-14,1917.75,2918.00,0.00,0.00,0.00,0.00,0.00
2022-02-15,7303.15,9239.00,0.00,0.00,0.00,0.00,0.00
2022-02-16,795.46,1304.00,0.00,0.00,0.00,0.00,0.00
2022-02-17,6585.39,7488.00,0.00,0.00,0.00,0.00,0.00
2022-02-18,6901.70,8294.00,0.00,0.00,0.00,0.00,0.00
2022-02-19,6464.82,7912.00,0.00,0.00,0.00,0.00,0.00
2022-02-20,3408.98,5289.00,0.00,0.00,0.00,0.00,0.00
2022-02-21,12002.68,15548.00,0.00,0.00,0.00,0.00,0.00
2022-02-22,10355.21,13957.00,0.00,0.00,0.00,0.00,0.00
2022-02-23,9948.62,14523.00,0.00,0.00,8688.54,0.00,0.00
2022-02-24,9206.24,14277.00,0.00,0.00,0.00,0.00,0.00
2022-02-25,13403.16,17578.00,0.00,0.00,0.00,0.00,0.00
2022-02-26,16536.55,19884.92,0.00,0.00,0.00,0.00,0.00
2022-02-27,10744.52,13982.00,0.00,0.00,0.00,0.00,0.00
2022-02-28,6875.10,9636.00,0.00,0.00,0.00,0.00,0.00
2022-03-01,5767.53,8533.00,0.00,0.00,0.00,0.00,0.00
2022-03-02,4839.55,7234.00,0.00,0.00,0.00,0.00,0.00
2022-03-03,11186.55,17722.00,0.00,0.00,0.00,0.00,0.00
2022-03-04,9932.27,14626.00,0.00,0.00,0.00,0.00,0.00
2022-03-05,12875.52,16671.38,0.00,0.00,0.00,0.00,0.00
2022-03-06,10636.32,15333.53,0.00,0.00,0.00,0.00,0.00
2022-03-07,8339.36,10549.00,0.00,0.00,0.00,0.00,0.00
2022-03-08,4122.62,6073.00,0.00,0.00,0.00,0.00,0.00
2022-03-09,6217.82,8515.00,0.00,0.00,0.00,0.00,0.00
2022-03-10,5216.91,7892.00,0.00,0.00,0.00,0.00,0.00
2022-03-11,9112.64,10563.00,0.00,0.00,0.00,0.00,0.00
2022-03-12,9837.67,13409.00,0.00,0.00,0.00,0.00,0.00
2022-03-13,9001.51,11736.62,0.00,0.00,0.00,0.00,0.00
2022-03-14,3476.83,5332.38,0.00,0.00,0.00,0.00,0.00
2022-03-15,6833.33,9276.00,0.00,0.00,0.00,0.00,0.00
2022-03-16,10595.56,15764.00,0.00,0.00,0.00,0.00,0.00
2022-03-17,5159.47,38290.36,0.00,0.00,0.00,0.00,0.00
2022-03-18,9027.73,10254.00,0.00,0.00,0.00,0.00,0.00
2022-03-19,4921.58,6665.00,0.00,0.00,0.00,0.00,0.00
