Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2019-01-01,19402.23,22324.00,0.00,0.00,0.00,0.00,0.00
2019-01-02,17416.65,19929.48,0.00,0.00,0.00,0.00,0.00
2019-01-03,10129.16,12769.54,0.00,0.00,0.00,0.00,0.00
2019-01-04,11479.14,16801.41,0.00,0.00,0.00,0.00,0.00
2019-01-05,6986.38,9631.00,0.00,0.00,0.00,0.00,0.00
2019-01-06,13214.26,20533.57,0.00,0.00,0.00,0.00,0.00
2019-01-07,5866.98,9577.00,0.00,0.00,0.00,0.00,0.00
2019-01-08,7156.14,10168.00,0.00,0.00,0.00,0.00,0.00
2019-01-09,6906.80,9623.00,0.00,0.00,0.00,0.00,0.00
2019-01-10,13329.75,16795.23,0.00,0.00,0.00,0.00,0.00
2019-01-11,15222.21,17321.00,0.00,0.00,0.00,0.00,0.00
2019-01-12,16898.39,18912.13,0.00,0.00,0.00,0.00,0.00
2019-01-13,14898.15,17251.00,0.00,0.00,0.00,0.00,0.00
2019-01-14,14124.59,16793.74,0.00,0.00,0.00,0.00,0.00
2019-01-15,14660.37,17669.30,0.00,0.00,0.00,0.00,0.00
2019-01-16,6257.18,9251.00,0.00,0.00,0.00,0.00,0.00
2019-01-17,6820.04,9704.10,0.00,0.00,0.00,0.00,0.00
2019-01-18,6644.62,9482.90,0.00,0.00,0.00,0.00,0.00
2019-01-19,3737.16,5640.00,0.00,0.00,0.00,0.00,0.00
2019-01-20,5297.28,9158.00,0.00,0.00,0.00,0.00,0.00
2019-01-21,2327.53,3707.00,0.00,0.00,0.00,0.00,0.00
2019-01-22,6012.37,9944.00,0.00,0.00,0.00,0.00,0.00
2019-01-23,6353.48,10081.00,0.00,0.00,0.00,0.00,0.00
2019-01-24,5298.51,8516.00,0.00,0.00,0.00,0.00,0.00
2019-01-25,8892.10,12895.00,0.00,0.00,0.00,0.00,0.00
2019-01-26,8874.79,12204.44,0.00,0.00,0.00,0.00,0.00
2019-01-27,6931.46,9766.00,0.00,0.00,0.00,0.00,0.00
2019-01-28,5583.54,8559.20,0.00,0.00,0.00,0.00,0.00
2019-01-29,6305.11,9548.00,0.00,0.00,0.00,0.00,0.00
2019-01-30,1935.92,2993.00,0.00,0.00,0.00,0.00,0.00
2019-01-31,5401.13,7779.00,0.00,0.00,0.00,0.00,0.00
2019-02-01,2784.36,4056.00,0.00,0.00,0.00,0.00,0.00
2019-02-02,5675.21,7876.98,0.00,0.00,0.00,0.00,0.00
2019-02-03,6687.12,9479.47,0.00,0.00,0.00,0.00,0.00
2019-02-04,6232.20,9214.67,0.00,0.00,0.00,0.00,0.00
2019-02-05,5718.84,7856.58,0.00,0.00,0.00,0.00,0.00
2019-02-06,3762.48,6118.00,0.00,0.00,0.00,0.00,0.00
2019-02-07,4023.31,6386.00,0.00,0.00,0.00,0.00,0.00
2019-02-08,7371.60,10715.19,0.00,0.00,0.00,0.00,0.00
2019-02-09,4362.54,6870.00,0.00,0.00,0.00,0.00,0.00
2019-02-10,3998.85,6822.00,0.00,0.00,0.00,0.00,0.00
2019-02-11,5603.77,8928.00,0.00,0.00,0.00,0.00,0.00
2019-02-12,8415.91,12632.00,0.00,0.00,0.00,0.00,0.00
2019-02-13,8616.80,12864.00,0.00,0.00,0.00,0.00,0.00
2019-02-14,15461.71,19152.00,0.00,0.00,0.00,0.00,0.00
2019-02-15,18657.06,23852.00,0.00,0.00,0.00,0.00,0.00
2019-02-16,9743.60,10912.00,0.00,0.00,0.00,0.00,0.00
2019-02-17,13018.33,12485.00,0.00,0.00,0.00,0.00,0.00
2019-02-18,15150.66,18492.00,0.00,0.00,0.00,0.00,0.00
2019-02-19,13091.99,15658.00,0.00,0.00,0.00,0.00,0.00
2019-02-20,10971.06,12070.00,0.00,0.00,0.00,0.00,0.00
2019-02-21,8901.09,12425.00,0.00,0.00,0.00,0.00,0.00
2019-02-22,7783.62,10373.00,0.00,0.00,0.00,0.00,0.00
2019-02-23,19020.27,22862.78,0.00,0.00,0.00,0.00,0.00
2019-02-24,13751.50,16053.22,0.00,0.00,0.00,0.00,0.00
2019-02-25,4587.53,6680.00,0.00,0.00,0.00,0.00,0.00
2019-02-26,7232.27,10562.00,0.00,0.00,0.00,0.00,0.00
2019-02-27,7797.41,11678.00,0.00,0.00,0.00,0.00,0.00
2019-02-28,5898.10,7772.00,0.00,0.00,0.00,0.00,0.00
2019-03-01,18213.70,22001.21,0.00,0.00,0.00,0.00,0.00
2019-03-02,12288.28,16856.00,0.00,0.00,0.00,0.00,0.00
2019-03-03,14043.48,15946.59,0.00,0.00,0.00,0.00,0.00
2019-03-04,16420.29,20211.00,0.00,0.00,0.00,0.00,0.00
2019-03-05,16160.41,18125.80,0.00,0.00,0.00,0.00,0.00
2019-03-06,9886.39,11765.43,0.00,0.00,0.00,0.00,0.00
2019-03-07,7111.24,10104.44,0.00,0.00,0.00,0.00,0.00
2019-03-08,17274.22,20593.00,0.00,0.00,0.00,0.00,0.00
2019-03-09,10129.54,13957.62,0.00,0.00,0.00,0.00,0.00
2019-03-10,8667.53,11508.25,0.00,0.00,0.00,0.00,0.00
2019-03-11,12202.12,13364.00,0.00,0.00,0.00,0.00,0.00
2019-03-12,11108.99,13217.00,0.00,0.00,0.00,0.00,0.00
2019-03-13,11397.00,12620.00,0.00,0.00,0.00,0.00,0.00
2019-03-14,9295.02,10497.50,0.00,0.00,0.00,0.00,0.00
2019-03-15,2681.71,3450.00,0.00,0.00,0.00,0.00,0.00
2019-03-16,18070.66,20702.00,0.00,0.00,0.00,0.00,0.00
2019-03-17,12141.06,13559.10,0.00,0.00,0.00,0.00,0.00
2019-03-18,6653.98,8802.00,0.00,0.00,0.00,0.00,0.00
2019-03-19,15645.42,17943.49,0.00,0.00,0.00,0.00,0.00
2019-03-20,8567.56,12458.19,0.00,0.00,0.00,0.00,0.00
