Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2023-01-01,10816.15,14795.73,0.00,0.00,0.00,0.00,0.00
2023-01-02,4258.46,6299.00,0.00,0.00,0.00,0.00,0.00
2023-01-03,10345.21,14140.96,0.00,0.00,0.00,0.00,0.00
2023-01-04,3838.01,5757.00,0.00,0.00,0.00,0.00,0.00
2023-01-05,629.96,1149.00,0.00,0.00,0.00,0.00,0.00
2023-01-06,12241.17,16657.00,0.00,0.00,0.00,0.00,0.00
2023-01-07,3747.37,6252.00,0.00,0.00,0.00,0.00,0.00
2023-01-08,1907.74,2825.00,0.00,0.00,0.00,0.00,0.00
2023-01-09,4335.49,6343.00,0.00,0.00,0.00,0.00,0.00
2023-01-10,8507.95,11420.56,0.00,0.00,0.00,0.00,0.00
2023-01-11,3912.14,5767.00,0.00,0.00,0.00,0.00,0.00
2023-01-12,67.76,99.00,0.00,0.00,0.00,0.00,0.00
2023-01-13,283.26,465.00,0.00,0.00,0.00,0.00,0.00
2023-01-14,709.22,1167.00,0.00,0.00,0.00,0.00,0.00
2023-01-15,7995.28,10455.00,0.00,0.00,0.00,0.00,0.00
2023-01-16,3516.73,5192.00,0.00,0.00,0.00,0.00,0.00
2023-01-17,4223.03,6419.00,0.00,0.00,0.00,0.00,0.00
2023-01-18,4143.43,6159.75,0.00,0.00,0.00,0.00,0.00
2023-01-19,5044.27,6087.00,0.00,0.00,0.00,0.00,0.00
2023-01-20,6385.59,9486.00,0.00,0.00,0.00,0.00,0.00
2023-01-21,1791.44,2655.00,0.00,0.00,0.00,0.00,0.00
2023-01-22,8229.98,10088.00,0.00,0.00,0.00,0.00,0.00
2023-01-23,2764.33,4021.48,0.00,0.00,0.00,0.00,0.00
2023-01-24,8071.25,10525.39,0.00,0.00,0.00,0.00,0.00
2023-01-25,3232.94,4875.00,0.00,0.00,0.00,0.00,0.00
2023-01-26,6179.03,9244.00,0.00,0.00,0.00,0.00,0.00
2023-01-27,6416.26,7851.00,0.00,0.00,0.00,0.00,0.00
2023-01-28,8330.69,10856.00,0.00,0.00,0.00,0.00,0.00
2023-01-29,558.19,965.00,0.00,0.00,0.00,0.00,0.00
2023-01-30,2059.90,3074.00,0.00,0.00,0.00,0.00,0.00
2023-01-31,9432.26,12887.00,0.00,0.00,0.00,0.00,0.00
2023-02-01,3370.06,4853.00,0.00,0.00,0.00,0.00,0.00
2023-02-02,9040.64,12218.00,0.00,0.00,0.00,0.00,0.00
2023-02-03,15185.26,19981.00,0.00,0.00,0.00,0.00,0.00
2023-02-04,9759.36,13365.00,0.00,0.00,0.00,0.00,0.00
