Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2020-01-01,12232.23,17502.89,0.00,0.00,0.00,0.00,0.00
2020-01-02,10457.36,15061.11,0.00,0.00,0.00,0.00,0.00
2020-01-03,8321.68,12169.00,0.00,0.00,0.00,0.00,0.00
2020-01-04,11609.12,16175.00,0.00,0.00,0.00,0.00,0.00
2020-01-05,13051.60,17873.00,0.00,0.00,0.00,0.00,0.00
2020-01-06,8580.21,12056.30,0.00,0.00,0.00,0.00,0.00
2020-01-07,9360.82,13380.00,0.00,0.00,0.00,0.00,0.00
2020-01-08,9601.53,13817.55,0.00,0.00,0.00,0.00,0.00
2020-01-09,10884.56,15391.00,0.00,0.00,0.00,0.00,0.00
2020-01-10,8481.42,12763.00,0.00,0.00,0.00,0.00,0.00
2020-01-11,8460.80,12360.36,0.00,0.00,0.00,0.00,0.00
2020-01-12,10479.57,14545.12,0.00,0.00,0.00,0.00,0.00
2020-01-13,10885.09,15811.88,0.00,0.00,0.00,0.00,0.00
2020-01-14,7987.76,11445.00,0.00,0.00,0.00,0.00,0.00
2020-01-15,6347.88,8975.02,0.00,0.00,0.00,0.00,0.00
2020-01-16,8255.56,11979.80,0.00,0.00,0.00,0.00,0.00
2020-01-17,8202.44,12995.18,0.00,0.00,0.00,0.00,0.00
2020-01-18,5660.07,9136.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,6081.89,8933.00,0.00,0.00,0.00,0.00,0.00
2020-01-20,7321.03,10466.36,0.00,0.00,0.00,0.00,0.00
2020-01-21,7172.78,10134.86,0.00,0.00,0.00,0.00,0.00
2020-01-22,3173.71,4936.81,0.00,0.00,0.00,0.00,0.00
2020-01-23,1550.11,2728.00,0.00,0.00,0.00,0.00,0.00
2020-01-24,1084.21,1761.00,0.00,0.00,0.00,0.00,0.00
2020-01-25,357.88,596.00,0.00,0.00,0.00,0.00,0.00
2020-01-26,730.89,1368.00,0.00,0.00,0.00,0.00,0.00
2020-01-27,2732.76,4265.82,0.00,0.00,0.00,0.00,0.00
2020-01-28,4691.28,6555.18,0.00,0.00,0.00,0.00,0.00
2020-01-29,8100.74,11292.94,0.00,0.00,0.00,0.00,0.00
2020-01-30,6365.59,8836.06,0.00,0.00,0.00,0.00,0.00
2020-01-31,13196.82,17679.54,0.00,0.00,0.00,0.00,0.00
2020-02-01,956.72,1433.46,0.00,0.00,0.00,0.00,0.00
2020-02-02,2425.09,3419.00,0.00,0.00,0.00,0.00,0.00
2020-02-03,847.61,1068.00,0.00,0.00,0.00,0.00,0.00
2020-02-04,7502.70,10712.55,0.00,0.00,0.00,0.00,0.00
2020-02-05,663.77,903.45,0.00,0.00,0.00,0.00,0.00
2020-02-06,4375.51,6515.00,0.00,0.00,0.00,0.00,0.00
2020-02-07,708.57,967.00,0.00,0.00,0.00,0.00,0.00
2020-02-08,1534.78,2155.00,0.00,0.00,0.00,0.00,0.00
2020-02-09,2278.76,3181.00,0.00,0.00,0.00,0.00,0.00
2020-02-10,9454.17,13059.00,0.00,0.00,0.00,0.00,0.00
2020-02-11,1348.56,1870.00,0.00,0.00,0.00,0.00,0.00
2020-02-12,5864.06,8091.08,0.00,0.00,0.00,0.00,0.00
2020-02-13,924.78,1301.92,0.00,0.00,0.00,0.00,0.00
2020-02-14,2075.49,2810.00,0.00,0.00,0.00,0.00,0.00
2020-02-15,6615.05,9327.00,0.00,0.00,0.00,0.00,0.00
2020-02-16,1205.39,1808.00,0.00,0.00,0.00,0.00,0.00
2020-02-17,3154.81,4501.00,0.00,0.00,0.00,0.00,0.00
2020-02-18,730.45,1043.00,0.00,0.00,0.00,0.00,0.00
2020-02-19,2412.62,3366.00,0.00,0.00,0.00,0.00,0.00
2020-02-20,4806.79,6685.00,0.00,0.00,0.00,0.00,0.00
2020-02-21,6258.68,8602.00,0.00,0.00,0.00,0.00,0.00
2020-02-22,7353.38,10506.00,0.00,0.00,0.00,0.00,0.00
2020-02-23,4394.49,5945.00,0.00,0.00,0.00,0.00,0.00
2020-02-24,6186.33,8923.00,0.00,0.00,0.00,0.00,0.00
2020-02-25,7401.72,10937.00,0.00,0.00,0.00,0.00,0.00
2020-02-26,6983.64,9899.00,0.00,0.00,0.00,0.00,0.00
2020-02-27,9870.59,13751.00,0.00,0.00,0.00,0.00,0.00
2020-02-28,1493.55,2032.00,0.00,0.00,0.00,0.00,0.00
2020-02-29,2870.59,4039.00,0.00,0.00,0.00,0.00,0.00
2020-03-01,7855.34,11204.00,0.00,0.00,0.00,0.00,0.00
2020-03-02,9979.86,14281.00,0.00,0.00,0.00,0.00,0.00
2020-03-03,1327.30,1862.00,0.00,0.00,0.00,0.00,0.00
2020-03-04,8390.37,12162.00,0.00,0.00,0.00,0.00,0.00
2020-03-05,5535.79,8013.00,0.00,0.00,0.00,0.00,0.00
2020-03-06,5148.45,8107.00,0.00,0.00,0.00,0.00,0.00
2020-03-07,4101.61,5878.00,0.00,0.00,0.00,0.00,0.00
2020-03-08,13577.25,19920.00,0.00,0.00,0.00,0.00,0.00
2020-03-09,9871.98,14113.00,0.00,0.00,0.00,0.00,0.00
2020-03-10,8201.68,11847.00,0.00,0.00,0.00,0.00,0.00
2020-03-11,9189.83,13265.00,0.00,0.00,0.00,0.00,0.00
2020-03-12,8600.02,12220.00,0.00,0.00,0.00,0.00,0.00
2020-03-13,8562.90,12342.00,0.00,0.00,0.00,0.00,0.00
2020-03-14,8379.67,11783.06,0.00,0.00,0.00,0.00,0.00
2020-03-15,6227.15,8728.94,0.00,0.00,0.00,0.00,0.00
2020-03-16,9293.20,13451.56,0.00,0.00,0.00,0.00,0.00
2020-03-17,6519.70,9398.29,0.00,0.00,0.00,0.00,0.00
2020-03-18,5722.00,8156.00,0.00,0.00,0.00,0.00,0.00
2020-03-19,5833.82,9007.71,0.00,0.00,0.00,0.00,0.00
2020-03-20,27.27,48.00,0.00,0.00,0.00,0.00,0.00
2020-03-21,1906.56,2694.00,0.00,0.00,0.00,0.00,0.00
2020-03-22,5531.50,5566.00,0.00,0.00,0.00,0.00,0.00
2020-03-23,4047.55,5689.00,0.00,0.00,0.00,0.00,0.00
2020-03-24,5430.10,7874.00,0.00,0.00,0.00,0.00,0.00
2020-03-25,3518.78,4929.00,0.00,0.00,0.00,0.00,0.00
2020-03-26,4175.06,6207.00,0.00,0.00,0.00,0.00,0.00
2020-03-27,274.40,390.00,0.00,0.00,0.00,0.00,0.00
2020-03-28,1477.83,2236.00,0.00,0.00,0.00,0.00,0.00
2020-03-29,2781.42,4383.00,0.00,0.00,0.00,0.00,0.00
2020-03-30,5372.00,7973.00,0.00,0.00,0.00,0.00,0.00
2020-03-31,6005.13,9018.00,0.00,0.00,0.00,0.00,0.00
2020-04-01,4842.93,7745.00,0.00,0.00,0.00,0.00,0.00
2020-04-02,5795.38,8599.00,0.00,0.00,0.00,0.00,0.00
2020-04-03,9225.91,13717.00,0.00,0.00,0.00,0.00,0.00
2020-04-04,2009.99,2975.00,0.00,0.00,0.00,0.00,0.00
2020-04-05,2205.35,3225.00,0.00,0.00,0.00,0.00,0.00
2020-04-06,6385.36,9524.00,0.00,0.00,0.00,0.00,0.00
2020-04-07,5666.05,8374.00,0.00,0.00,0.00,0.00,0.00
2020-04-08,3176.14,5180.00,0.00,0.00,0.00,0.00,0.00
2020-04-09,7956.49,11801.00,0.00,0.00,0.00,0.00,0.00
2020-04-10,4012.28,5818.00,0.00,0.00,0.00,0.00,0.00
2020-04-11,8998.88,14287.11,0.00,0.00,0.00,0.00,0.00
2020-04-12,12049.62,17488.00,0.00,0.00,0.00,0.00,0.00
2020-04-13,14345.22,19830.00,0.00,0.00,0.00,0.00,0.00
2020-04-14,8303.80,12238.00,0.00,0.00,0.00,0.00,0.00
2020-04-15,6872.38,10120.00,0.00,0.00,0.00,0.00,0.00
2020-04-16,8088.26,11674.00,0.00,0.00,0.00,0.00,0.00
2020-04-17,6700.81,10846.00,0.00,0.00,0.00,0.00,0.00
2020-04-18,761.56,1242.00,0.00,0.00,0.00,0.00,0.00
2020-04-19,4742.79,6933.00,0.00,0.00,0.00,0.00,0.00
2020-04-20,6451.86,9603.00,0.00,0.00,0.00,0.00,0.00
2020-04-21,1190.81,1690.00,0.00,0.00,0.00,0.00,0.00
2020-04-22,9366.30,13824.00,0.00,0.00,0.00,0.00,0.00
2020-04-23,6772.01,10152.00,0.00,0.00,0.00,0.00,0.00
2020-04-24,6449.43,9673.00,0.00,0.00,0.00,0.00,0.00
2020-04-25,7510.31,10944.00,0.00,0.00,0.00,0.00,0.00
2020-04-26,7209.73,10597.00,0.00,0.00,0.00,0.00,0.00
2020-04-27,4741.29,7604.00,0.00,0.00,0.00,0.00,0.00
2020-04-28,13549.04,18306.00,0.00,0.00,0.00,0.00,0.00
2020-04-29,6922.26,9953.00,0.00,0.00,0.00,0.00,0.00
2020-04-30,4938.84,8063.00,0.00,0.00,0.00,0.00,0.00
2020-05-01,8751.51,12757.00,0.00,0.00,0.00,0.00,0.00
2020-05-02,7094.39,12408.00,0.00,0.00,0.00,0.00,0.00
2020-05-03,923.72,1553.00,0.00,0.00,0.00,0.00,0.00
2020-05-04,6096.49,9722.00,0.00,0.00,0.00,0.00,0.00
2020-05-05,6857.20,10854.00,0.00,0.00,0.00,0.00,0.00
2020-05-06,9213.09,13656.00,0.00,0.00,0.00,0.00,0.00
2020-05-07,7843.39,11517.00,0.00,0.00,0.00,0.00,0.00
2020-05-08,7561.86,11964.00,0.00,0.00,0.00,0.00,0.00
2020-05-09,3838.42,6461.21,0.00,0.00,0.00,0.00,0.00
2020-05-10,8874.39,12874.79,0.00,0.00,0.00,0.00,0.00
2020-05-11,9891.74,14692.00,0.00,0.00,0.00,0.00,0.00
2020-05-12,11634.15,16567.00,0.00,0.00,0.00,0.00,0.00
2020-05-13,8338.74,12392.00,0.00,0.00,0.00,0.00,0.00
2020-05-14,8878.01,13654.40,0.00,0.00,0.00,0.00,0.00
2020-05-15,5065.24,8898.00,0.00,0.00,0.00,0.00,0.00
2020-05-16,2114.37,3190.00,0.00,0.00,0.00,0.00,0.00
2020-05-17,8191.12,11465.00,0.00,0.00,0.00,0.00,0.00
2020-05-18,10740.81,15423.00,0.00,0.00,0.00,0.00,0.00
2020-05-19,14029.57,19893.00,0.00,0.00,0.00,0.00,0.00
2020-05-20,12073.69,18241.00,0.00,0.00,0.00,0.00,0.00
2020-05-21,10537.66,15152.00,0.00,0.00,0.00,0.00,0.00
2020-05-22,12121.17,19271.75,0.00,0.00,0.00,0.00,0.00
2020-05-23,6767.24,9857.00,0.00,0.00,0.00,0.00,0.00
2020-05-24,7535.95,11129.00,0.00,0.00,0.00,0.00,0.00
2020-05-25,10885.85,15655.00,0.00,0.00,0.00,0.00,0.00
2020-05-26,13705.09,18414.85,0.00,0.00,0.00,0.00,0.00
2020-05-27,14476.58,19081.00,0.00,0.00,0.00,0.00,0.00
2020-05-28,9359.90,13769.00,0.00,0.00,0.00,0.00,0.00
2020-05-29,4531.28,7602.00,0.00,0.00,0.00,0.00,0.00
2020-05-30,2899.01,4711.00,0.00,0.00,0.00,0.00,0.00
2020-05-31,13544.38,18402.00,0.00,0.00,0.00,0.00,0.00
2020-06-01,12315.78,16687.00,0.00,0.00,0.00,0.00,0.00
